insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
Simmons Donald E.,EVP & Chief Operating Officer,2026-07-01,2026-07-02,826,0.0,0.0,A,A,4645,False,False,True,0001628280-26-046873,https://www.sec.gov/Archives/edgar/data/1466258/000162828026046873/0001628280-26-046873.txt
de Jesus Assis Ana Paula,,2026-06-05,2026-06-09,224,456.84,102332.16,D,F,567,False,True,False,0001628280-26-041960,https://www.sec.gov/Archives/edgar/data/1466258/000162828026041960/0001628280-26-041960.txt
de Jesus Assis Ana Paula,,2026-06-05,2026-06-09,438,0.0,0.0,A,A,1005,False,True,False,0001628280-26-041960,https://www.sec.gov/Archives/edgar/data/1466258/000162828026041960/0001628280-26-041960.txt
Schaeffer Melissa N.,,2026-06-05,2026-06-09,112,456.84,51166.08,D,F,1657,False,True,False,0001628280-26-041942,https://www.sec.gov/Archives/edgar/data/1466258/000162828026041942/0001628280-26-041942.txt
Schaeffer Melissa N.,,2026-06-05,2026-06-09,438,0.0,0.0,A,A,2095,False,True,False,0001628280-26-041942,https://www.sec.gov/Archives/edgar/data/1466258/000162828026041942/0001628280-26-041942.txt
SURMA JOHN P,,2026-06-05,2026-06-09,112,456.84,51166.08,D,F,13347,False,True,False,0001628280-26-041940,https://www.sec.gov/Archives/edgar/data/1466258/000162828026041940/0001628280-26-041940.txt
SURMA JOHN P,,2026-06-05,2026-06-09,438,0.0,0.0,A,A,13785,False,True,False,0001628280-26-041940,https://www.sec.gov/Archives/edgar/data/1466258/000162828026041940/0001628280-26-041940.txt
Pine Matthew Francis,,2026-06-05,2026-06-09,112,456.84,51166.08,D,F,353,False,True,False,0001628280-26-041944,https://www.sec.gov/Archives/edgar/data/1466258/000162828026041944/0001628280-26-041944.txt
Pine Matthew Francis,,2026-06-05,2026-06-09,438,0.0,0.0,A,A,791,False,True,False,0001628280-26-041944,https://www.sec.gov/Archives/edgar/data/1466258/000162828026041944/0001628280-26-041944.txt
Miller Boise April,,2026-06-05,2026-06-09,112,456.84,51166.08,D,F,3118,False,True,False,0001628280-26-041952,https://www.sec.gov/Archives/edgar/data/1466258/000162828026041952/0001628280-26-041952.txt
Miller Boise April,,2026-06-05,2026-06-09,438,0.0,0.0,A,A,3556,False,True,False,0001628280-26-041952,https://www.sec.gov/Archives/edgar/data/1466258/000162828026041952/0001628280-26-041952.txt
Lee Myles P,,2026-06-05,2026-06-09,224,456.84,102332.16,D,F,8755,False,True,False,0001628280-26-041946,https://www.sec.gov/Archives/edgar/data/1466258/000162828026041946/0001628280-26-041946.txt
Lee Myles P,,2026-06-05,2026-06-09,438,0.0,0.0,A,A,9193,False,True,False,0001628280-26-041946,https://www.sec.gov/Archives/edgar/data/1466258/000162828026041946/0001628280-26-041946.txt
HAYES JOHN A,,2026-06-05,2026-06-09,438,0.0,0.0,A,A,2207,False,True,False,0001628280-26-041967,https://www.sec.gov/Archives/edgar/data/1466258/000162828026041967/0001628280-26-041967.txt
HAYES JOHN A,,2026-06-05,2026-06-09,112,456.84,51166.08,D,F,2095,False,True,False,0001628280-26-041967,https://www.sec.gov/Archives/edgar/data/1466258/000162828026041967/0001628280-26-041967.txt
George Mark R,,2026-06-05,2026-06-09,112,456.84,51166.08,D,F,1657,False,True,False,0001628280-26-041948,https://www.sec.gov/Archives/edgar/data/1466258/000162828026041948/0001628280-26-041948.txt
George Mark R,,2026-06-05,2026-06-09,438,0.0,0.0,A,A,2095,False,True,False,0001628280-26-041948,https://www.sec.gov/Archives/edgar/data/1466258/000162828026041948/0001628280-26-041948.txt
BERZIN ANN C,,2026-06-05,2026-06-09,112,456.84,51166.08,D,F,85318,False,True,False,0001628280-26-041956,https://www.sec.gov/Archives/edgar/data/1466258/000162828026041956/0001628280-26-041956.txt
BERZIN ANN C,,2026-06-05,2026-06-09,438,0.0,0.0,A,A,85756,False,True,False,0001628280-26-041956,https://www.sec.gov/Archives/edgar/data/1466258/000162828026041956/0001628280-26-041956.txt
Arnold Kirk E,,2026-06-05,2026-06-09,112,456.84,51166.08,D,F,5970,False,True,False,0001628280-26-041963,https://www.sec.gov/Archives/edgar/data/1466258/000162828026041963/0001628280-26-041963.txt
Arnold Kirk E,,2026-06-05,2026-06-09,438,0.0,0.0,A,A,6408,False,True,False,0001628280-26-041963,https://www.sec.gov/Archives/edgar/data/1466258/000162828026041963/0001628280-26-041963.txt
HUDSON LINDA P,,2026-06-04,2026-06-08,112,463.76,51941.12,D,F,1657,False,True,False,0001628280-26-041529,https://www.sec.gov/Archives/edgar/data/1466258/000162828026041529/0001628280-26-041529.txt
Simmons Donald E.,"Group President, Americas",2026-04-30,2026-05-01,4593,180.45,828806.85,A,M,8412,True,False,True,0001628280-26-029315,https://www.sec.gov/Archives/edgar/data/1466258/000162828026029315/0001628280-26-029315.txt
Simmons Donald E.,"Group President, Americas",2026-04-30,2026-05-01,4593,500.0,2296500.0,D,S,3819,True,False,True,0001628280-26-029315,https://www.sec.gov/Archives/edgar/data/1466258/000162828026029315/0001628280-26-029315.txt
Kuehn Christopher J,Executive Vice President & CFO,2026-04-08,2026-04-09,8619,450.0,3878550.0,D,S,60576,True,False,True,0001628280-26-024444,https://www.sec.gov/Archives/edgar/data/1466258/000162828026024444/0001628280-26-024444.txt
Simmons Donald E.,"Group President, Americas",2026-03-06,2026-03-09,3762,422.6991,1590194.01,D,S,3819,True,False,True,0001628280-26-016001,https://www.sec.gov/Archives/edgar/data/1466258/000162828026016001/0001628280-26-016001.txt
Regnery David S,Chair and CEO,2026-03-06,2026-03-09,36045,422.6899,15235857.45,D,S,96948,True,True,True,0001628280-26-016004,https://www.sec.gov/Archives/edgar/data/1466258/000162828026016004/0001628280-26-016004.txt
Elwell Elizabeth A.,VP & Chief Accounting Officer,2026-03-06,2026-03-09,635,422.705,268417.67,D,S,7100,True,False,True,0001628280-26-016006,https://www.sec.gov/Archives/edgar/data/1466258/000162828026016006/0001628280-26-016006.txt
HAYES JOHN A,,2026-03-05,2026-06-09,400,430.44,172176.0,A,P,400,False,True,False,0001628280-26-041967,https://www.sec.gov/Archives/edgar/data/1466258/000162828026041967/0001628280-26-041967.txt
Simmons Donald E.,"Group President, Americas",2026-03-04,2026-03-06,6652,0.0,0.0,A,A,10471,False,False,True,0001628280-26-015603,https://www.sec.gov/Archives/edgar/data/1466258/000162828026015603/0001628280-26-015603.txt
Simmons Donald E.,"Group President, Americas",2026-03-04,2026-03-06,2890,445.05,1286194.5,D,F,7581,False,False,True,0001628280-26-015603,https://www.sec.gov/Archives/edgar/data/1466258/000162828026015603/0001628280-26-015603.txt
Regnery David S,Chair and CEO,2026-03-04,2026-03-06,63730,0.0,0.0,A,A,160678,False,True,True,0001628280-26-015605,https://www.sec.gov/Archives/edgar/data/1466258/000162828026015605/0001628280-26-015605.txt
