insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
Nocella Andrew P,EVP & Chief Commercial Officer,2026-07-28,2026-07-28,4200,120.48,506016.0,D,S,222955,False,False,True,0000100517-26-000159,https://www.sec.gov/Archives/edgar/data/100517/000010051726000159/0000100517-26-000159.txt
Hart Brett J,President,2026-07-28,2026-07-28,30108,120.72,3634637.76,D,S,371583,False,False,True,0000100517-26-000157,https://www.sec.gov/Archives/edgar/data/100517/000010051726000157/0000100517-26-000157.txt
Hart Brett J,President,2026-07-28,2026-07-28,7461,0.0,0.0,D,G,364122,False,False,True,0000100517-26-000157,https://www.sec.gov/Archives/edgar/data/100517/000010051726000157/0000100517-26-000157.txt
Gebo Kate,EVP HR and Labor Relations,2026-07-28,2026-07-28,4968,0.0,0.0,D,G,69018,False,False,True,0000100517-26-000156,https://www.sec.gov/Archives/edgar/data/100517/000010051726000156/0000100517-26-000156.txt
Gebo Kate,EVP HR and Labor Relations,2026-07-28,2026-07-28,4968,0.0,0.0,A,G,69018,False,False,True,0000100517-26-000156,https://www.sec.gov/Archives/edgar/data/100517/000010051726000156/0000100517-26-000156.txt
Hart Brett J,President,2026-07-27,2026-07-28,21521,77.56,1669168.76,A,M,418936,False,False,True,0000100517-26-000157,https://www.sec.gov/Archives/edgar/data/100517/000010051726000157/0000100517-26-000157.txt
Hart Brett J,President,2026-07-27,2026-07-28,17245,120.57,2079229.65,D,F,401691,False,False,True,0000100517-26-000157,https://www.sec.gov/Archives/edgar/data/100517/000010051726000157/0000100517-26-000157.txt
Nocella Andrew P,EVP & Chief Commercial Officer,2026-07-25,2026-07-28,21404,0.0,0.0,A,A,236749,False,False,True,0000100517-26-000159,https://www.sec.gov/Archives/edgar/data/100517/000010051726000159/0000100517-26-000159.txt
Nocella Andrew P,EVP & Chief Commercial Officer,2026-07-25,2026-07-28,9594,118.27,1134682.38,D,F,227155,False,False,True,0000100517-26-000159,https://www.sec.gov/Archives/edgar/data/100517/000010051726000159/0000100517-26-000159.txt
Leskinen Michael D.,EVP & Chief Financial Officer,2026-07-25,2026-07-28,17837,0.0,0.0,A,A,65337,False,False,True,0000100517-26-000158,https://www.sec.gov/Archives/edgar/data/100517/000010051726000158/0000100517-26-000158.txt
Leskinen Michael D.,EVP & Chief Financial Officer,2026-07-25,2026-07-28,7901,118.27,934451.27,D,F,57436,False,False,True,0000100517-26-000158,https://www.sec.gov/Archives/edgar/data/100517/000010051726000158/0000100517-26-000158.txt
KIRBY J SCOTT,Chief Executive Officer,2026-07-25,2026-07-28,71347,0.0,0.0,A,A,869198,False,True,True,0000100517-26-000155,https://www.sec.gov/Archives/edgar/data/100517/000010051726000155/0000100517-26-000155.txt
