insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
Clement David P,Senior Vice President,2026-06-15,2026-06-16,2212,292.29,646545.48,D,S,8716,False,False,False,0001587528-26-000004,https://www.sec.gov/Archives/edgar/data/1396009/000158752826000004/0001587528-26-000004.txt
KENNARD LYDIA H,,2026-06-12,2026-06-15,655,0.0,0.0,A,M,2112,False,False,False,0001223115-26-000003,https://www.sec.gov/Archives/edgar/data/1396009/000122311526000003/0001223115-26-000003.txt
HALL GRAYSON,,2026-06-12,2026-06-15,655,0.0,0.0,A,M,618,False,False,False,0001217173-26-000002,https://www.sec.gov/Archives/edgar/data/1396009/000121717326000002/0001217173-26-000002.txt
Shah Mitesh Bansilal,SVP and CHRO,2026-02-23,2026-02-24,134,305.29,40908.86,D,F,1079,False,False,False,0002076771-26-000003,https://www.sec.gov/Archives/edgar/data/1396009/000207677126000003/0002076771-26-000003.txt
Pruitt Ronnie A,Chief Executive Officer,2026-02-23,2026-02-24,3792,305.29,1157659.68,D,F,20281,False,False,False,0001432991-26-000003,https://www.sec.gov/Archives/edgar/data/1396009/000143299126000003/0001432991-26-000003.txt
Pruitt Ronnie A,Chief Executive Officer,2026-02-23,2026-02-24,475,305.29,145012.75,D,F,20916,False,False,False,0001432991-26-000003,https://www.sec.gov/Archives/edgar/data/1396009/000143299126000003/0001432991-26-000003.txt
Pigg Randy L.,Vice President and Controller,2026-02-23,2026-02-24,149,305.29,45488.21,D,F,1577,False,False,False,0001737603-26-000003,https://www.sec.gov/Archives/edgar/data/1396009/000173760326000003/0001737603-26-000003.txt
Perkins Jerry F Jr,Chief Administrative Officer,2026-02-23,2026-02-24,3792,305.29,1157659.68,D,F,19971,False,False,False,0001667316-26-000003,https://www.sec.gov/Archives/edgar/data/1396009/000166731626000003/0001667316-26-000003.txt
Perkins Jerry F Jr,Chief Administrative Officer,2026-02-23,2026-02-24,433,305.29,132190.57,D,F,20548,False,False,False,0001667316-26-000003,https://www.sec.gov/Archives/edgar/data/1396009/000166731626000003/0001667316-26-000003.txt
Hill J Thomas,,2026-02-23,2026-02-24,3755,305.29,1146363.95,D,F,40514,False,False,False,0001564533-26-000004,https://www.sec.gov/Archives/edgar/data/1396009/000156453326000004/0001564533-26-000004.txt
Clement David P,Senior Vice President,2026-02-23,2026-02-24,3046,305.29,929913.34,D,F,10229,False,False,False,0001587528-26-000003,https://www.sec.gov/Archives/edgar/data/1396009/000158752826000003/0001587528-26-000003.txt
Clement David P,Senior Vice President,2026-02-23,2026-02-24,411,305.29,125474.19,D,F,10928,False,False,False,0001587528-26-000003,https://www.sec.gov/Archives/edgar/data/1396009/000158752826000003/0001587528-26-000003.txt
Carlisle Mary Andrews,SVP and CFO,2026-02-23,2026-02-24,790,305.29,241179.1,D,F,12464,False,False,False,0001944373-26-000003,https://www.sec.gov/Archives/edgar/data/1396009/000194437326000003/0001944373-26-000003.txt
Bass Stanley G,Chief Strategy Officer,2026-02-23,2026-02-24,832,305.29,254001.28,D,F,34932,False,False,False,0001564578-26-000003,https://www.sec.gov/Archives/edgar/data/1396009/000156457826000003/0001564578-26-000003.txt
BAKER THOMPSON S II,President,2026-02-23,2026-02-24,951,305.29,290330.79,D,F,59493,False,False,False,0001190090-26-000003,https://www.sec.gov/Archives/edgar/data/1396009/000119009026000003/0001190090-26-000003.txt
Shah Mitesh Bansilal,SVP and CHRO,2026-02-21,2026-02-24,300,0.0,0.0,A,M,1213,False,False,False,0002076771-26-000003,https://www.sec.gov/Archives/edgar/data/1396009/000207677126000003/0002076771-26-000003.txt
Pruitt Ronnie A,Chief Executive Officer,2026-02-21,2026-02-24,8550,0.0,0.0,A,M,24073,False,False,False,0001432991-26-000003,https://www.sec.gov/Archives/edgar/data/1396009/000143299126000003/0001432991-26-000003.txt
Pruitt Ronnie A,Chief Executive Officer,2026-02-21,2026-02-24,1110,0.0,0.0,A,M,21391,False,False,False,0001432991-26-000003,https://www.sec.gov/Archives/edgar/data/1396009/000143299126000003/0001432991-26-000003.txt
Pigg Randy L.,Vice President and Controller,2026-02-21,2026-02-24,420,0.0,0.0,A,M,1726,False,False,False,0001737603-26-000003,https://www.sec.gov/Archives/edgar/data/1396009/000173760326000003/0001737603-26-000003.txt
Perkins Jerry F Jr,Chief Administrative Officer,2026-02-21,2026-02-24,8550,0.0,0.0,A,M,23763,False,False,False,0001667316-26-000003,https://www.sec.gov/Archives/edgar/data/1396009/000166731626000003/0001667316-26-000003.txt
Perkins Jerry F Jr,Chief Administrative Officer,2026-02-21,2026-02-24,1010,0.0,0.0,A,M,20981,False,False,False,0001667316-26-000003,https://www.sec.gov/Archives/edgar/data/1396009/000166731626000003/0001667316-26-000003.txt
Hill J Thomas,,2026-02-21,2026-02-24,8940,0.0,0.0,A,M,44269,False,False,False,0001564533-26-000004,https://www.sec.gov/Archives/edgar/data/1396009/000156453326000004/0001564533-26-000004.txt
Clement David P,Senior Vice President,2026-02-21,2026-02-24,8231,0.0,0.0,A,M,13275,False,False,False,0001587528-26-000003,https://www.sec.gov/Archives/edgar/data/1396009/000158752826000003/0001587528-26-000003.txt
Clement David P,Senior Vice President,2026-02-21,2026-02-24,1110,0.0,0.0,A,M,11339,False,False,False,0001587528-26-000003,https://www.sec.gov/Archives/edgar/data/1396009/000158752826000003/0001587528-26-000003.txt
Carlisle Mary Andrews,SVP and CFO,2026-02-21,2026-02-24,1780,0.0,0.0,A,M,13254,False,False,False,0001944373-26-000003,https://www.sec.gov/Archives/edgar/data/1396009/000194437326000003/0001944373-26-000003.txt
Bass Stanley G,Chief Strategy Officer,2026-02-21,2026-02-24,1980,0.0,0.0,A,M,35764,False,False,False,0001564578-26-000003,https://www.sec.gov/Archives/edgar/data/1396009/000156457826000003/0001564578-26-000003.txt
BAKER THOMPSON S II,President,2026-02-21,2026-02-24,2570,0.0,0.0,A,M,60444,False,False,False,0001190090-26-000003,https://www.sec.gov/Archives/edgar/data/1396009/000119009026000003/0001190090-26-000003.txt
Anderson Melissa H.,,2026-02-20,2026-02-24,1137,303.72,345329.64,D,S,0,False,False,False,0001631925-26-000003,https://www.sec.gov/Archives/edgar/data/1396009/000163192526000003/0001631925-26-000003.txt
Shah Mitesh Bansilal,SVP and CHRO,2026-02-13,2026-02-17,1684,0.0,0.0,A,M,1684,False,False,False,0002076771-26-000001,https://www.sec.gov/Archives/edgar/data/1396009/000207677126000001/0002076771-26-000001.txt
Shah Mitesh Bansilal,SVP and CHRO,2026-02-13,2026-02-17,771,321.92,248200.32,D,F,913,False,False,False,0002076771-26-000001,https://www.sec.gov/Archives/edgar/data/1396009/000207677126000001/0002076771-26-000001.txt
Pruitt Ronnie A,Chief Executive Officer,2026-02-13,2026-02-17,6212,0.0,0.0,A,M,17829,False,False,False,0001432991-26-000001,https://www.sec.gov/Archives/edgar/data/1396009/000143299126000001/0001432991-26-000001.txt
Pruitt Ronnie A,Chief Executive Officer,2026-02-13,2026-02-17,2306,321.92,742347.52,D,F,15523,False,False,False,0001432991-26-000001,https://www.sec.gov/Archives/edgar/data/1396009/000143299126000001/0001432991-26-000001.txt
Pigg Randy L.,Vice President and Controller,2026-02-13,2026-02-17,786,0.0,0.0,A,M,1609,False,False,False,0001737603-26-000001,https://www.sec.gov/Archives/edgar/data/1396009/000173760326000001/0001737603-26-000001.txt
Pigg Randy L.,Vice President and Controller,2026-02-13,2026-02-17,303,321.92,97541.76,D,F,1306,False,False,False,0001737603-26-000001,https://www.sec.gov/Archives/edgar/data/1396009/000173760326000001/0001737603-26-000001.txt
Perkins Jerry F Jr,Senior Vice President,2026-02-13,2026-02-17,5670,0.0,0.0,A,M,17749,False,False,False,0001667316-26-000001,https://www.sec.gov/Archives/edgar/data/1396009/000166731626000001/0001667316-26-000001.txt
Perkins Jerry F Jr,Senior Vice President,2026-02-13,2026-02-17,2536,321.92,816389.12,D,F,15213,False,False,False,0001667316-26-000001,https://www.sec.gov/Archives/edgar/data/1396009/000166731626000001/0001667316-26-000001.txt
Hill J Thomas,,2026-02-13,2026-02-17,50181,0.0,0.0,A,M,57601,False,False,False,0001564533-26-000002,https://www.sec.gov/Archives/edgar/data/1396009/000156453326000002/0001564533-26-000002.txt
Hill J Thomas,,2026-02-13,2026-02-17,22272,321.92,7169802.24,D,F,35329,False,False,False,0001564533-26-000002,https://www.sec.gov/Archives/edgar/data/1396009/000156453326000002/0001564533-26-000002.txt
Franklin Denson N. III,"SVP, Gen. Counsel & Secretary",2026-02-13,2026-02-17,7484,0.0,0.0,A,M,15768,False,False,False,0001793654-26-000001,https://www.sec.gov/Archives/edgar/data/1396009/000179365426000001/0001793654-26-000001.txt
Franklin Denson N. III,"SVP, Gen. Counsel & Secretary",2026-02-13,2026-02-17,3341,321.92,1075534.72,D,F,12427,False,False,False,0001793654-26-000001,https://www.sec.gov/Archives/edgar/data/1396009/000179365426000001/0001793654-26-000001.txt
Clement David P,Senior Vice President,2026-02-13,2026-02-17,6212,0.0,0.0,A,M,7044,False,False,False,0001587528-26-000001,https://www.sec.gov/Archives/edgar/data/1396009/000158752826000001/0001587528-26-000001.txt
Clement David P,Senior Vice President,2026-02-13,2026-02-17,2000,321.92,643840.0,D,F,5044,False,False,False,0001587528-26-000001,https://www.sec.gov/Archives/edgar/data/1396009/000158752826000001/0001587528-26-000001.txt
Carlisle Mary Andrews,SVP and CFO,2026-02-13,2026-02-17,9973,0.0,0.0,A,M,15918,False,False,False,0001944373-26-000001,https://www.sec.gov/Archives/edgar/data/1396009/000194437326000001/0001944373-26-000001.txt
Carlisle Mary Andrews,SVP and CFO,2026-02-13,2026-02-17,4444,321.92,1430612.48,D,F,11474,False,False,False,0001944373-26-000001,https://www.sec.gov/Archives/edgar/data/1396009/000194437326000001/0001944373-26-000001.txt
Bass Stanley G,Chief Strategy Officer,2026-02-13,2026-02-17,11114,0.0,0.0,A,M,38734,False,False,False,0001564578-26-000001,https://www.sec.gov/Archives/edgar/data/1396009/000156457826000001/0001564578-26-000001.txt
Bass Stanley G,Chief Strategy Officer,2026-02-13,2026-02-17,4950,321.92,1593504.0,D,F,33784,False,False,False,0001564578-26-000001,https://www.sec.gov/Archives/edgar/data/1396009/000156457826000001/0001564578-26-000001.txt
BAKER THOMPSON S II,President,2026-02-13,2026-02-17,14445,0.0,0.0,A,M,63112,False,False,False,0001190090-26-000001,https://www.sec.gov/Archives/edgar/data/1396009/000119009026000001/0001190090-26-000001.txt
BAKER THOMPSON S II,President,2026-02-13,2026-02-17,5238,321.92,1686216.96,D,F,57874,False,False,False,0001190090-26-000001,https://www.sec.gov/Archives/edgar/data/1396009/000119009026000001/0001190090-26-000001.txt
BAKER THOMPSON S II,President,2025-12-15,2025-12-16,11400,0.0,0.0,A,M,52885,False,False,False,0001190090-25-000007,https://www.sec.gov/Archives/edgar/data/1396009/000119009025000007/0001190090-25-000007.txt
BAKER THOMPSON S II,President,2025-12-15,2025-12-16,4218,296.68,1251396.24,D,F,48667,False,False,False,0001190090-25-000007,https://www.sec.gov/Archives/edgar/data/1396009/000119009025000007/0001190090-25-000007.txt
BAKER THOMPSON S II,President,2025-12-11,2025-12-15,7135,300.81,2146279.35,D,S,0,False,False,False,0001190090-25-000006,https://www.sec.gov/Archives/edgar/data/1396009/000119009025000006/0001190090-25-000006.txt
Franklin Denson N. III,"SVP, Gen. Counsel & Secretary",2025-12-10,2025-12-10,665,295.0,196175.0,D,S,8284,False,False,False,0001793654-25-000003,https://www.sec.gov/Archives/edgar/data/1396009/000179365425000003/0001793654-25-000003.txt
Franklin Denson N. III,"SVP, Gen. Counsel & Secretary",2025-12-09,2025-12-10,3200,185.31,592992.0,A,M,11484,False,False,False,0001793654-25-000003,https://www.sec.gov/Archives/edgar/data/1396009/000179365425000003/0001793654-25-000003.txt
Franklin Denson N. III,"SVP, Gen. Counsel & Secretary",2025-12-09,2025-12-10,2535,295.78,749802.3,D,F,8949,False,False,False,0001793654-25-000003,https://www.sec.gov/Archives/edgar/data/1396009/000179365425000003/0001793654-25-000003.txt
Clement David P,Senior Vice President,2025-11-19,2025-11-24,1000,287.1,287100.0,D,S,1832,False,False,False,0001587528-25-000006,https://www.sec.gov/Archives/edgar/data/1396009/000158752825000006/0001587528-25-000006.txt
Clement David P,Senior Vice President,2025-11-19,2025-11-24,1000,290.0,290000.0,D,S,832,False,False,False,0001587528-25-000006,https://www.sec.gov/Archives/edgar/data/1396009/000158752825000006/0001587528-25-000006.txt
BAKER THOMPSON S II,President,2025-11-12,2025-11-13,2053,296.5,608714.5,D,S,44285,False,False,False,0001190090-25-000005,https://www.sec.gov/Archives/edgar/data/1396009/000119009025000005/0001190090-25-000005.txt
BAKER THOMPSON S II,President,2025-11-12,2025-11-13,2800,295.0,826000.0,D,S,41485,False,False,False,0001190090-25-000005,https://www.sec.gov/Archives/edgar/data/1396009/000119009025000005/0001190090-25-000005.txt
BAKER THOMPSON S II,President,2025-11-11,2025-11-13,6500,113.16,735540.0,A,M,47985,False,False,False,0001190090-25-000005,https://www.sec.gov/Archives/edgar/data/1396009/000119009025000005/0001190090-25-000005.txt
