insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
Smith Maurice S,,2026-07-16,2026-07-17,56,95.04,5322.24,A,A,31239,False,True,False,0001841752-26-000019,https://www.sec.gov/Archives/edgar/data/740260/000184175226000019/0001841752-26-000019.txt
Smith Maurice S,,2026-07-16,2026-07-17,71,95.04,6747.84,A,A,31311,False,True,False,0001841752-26-000019,https://www.sec.gov/Archives/edgar/data/740260/000184175226000019/0001841752-26-000019.txt
Roy Sumit,,2026-07-16,2026-07-17,47,95.04,4466.88,A,A,24799,False,True,False,0001529329-26-000020,https://www.sec.gov/Archives/edgar/data/740260/000152932926000020/0001529329-26-000020.txt
Roy Sumit,,2026-07-16,2026-07-17,71,95.04,6747.84,A,A,24871,False,True,False,0001529329-26-000020,https://www.sec.gov/Archives/edgar/data/740260/000152932926000020/0001529329-26-000020.txt
Rodriguez Joe Vasquez Jr.,,2026-07-16,2026-07-17,48,95.04,4561.92,A,A,9943,False,True,False,0002014328-26-000008,https://www.sec.gov/Archives/edgar/data/740260/000201432826000008/0002014328-26-000008.txt
NADER MARGUERITE M,,2026-07-16,2026-07-17,71,95.04,6747.84,A,A,23543,False,True,False,0001356681-26-000010,https://www.sec.gov/Archives/edgar/data/740260/000135668126000010/0001356681-26-000010.txt
Martino Roxanne M,,2026-07-16,2026-07-17,173,95.04,16441.92,A,A,66845,False,True,False,0001676558-26-000014,https://www.sec.gov/Archives/edgar/data/740260/000167655826000014/0001676558-26-000014.txt
LUSTIG MATTHEW J,,2026-07-16,2026-07-17,209,95.04,19863.36,A,A,95663,False,True,False,0001203367-26-000024,https://www.sec.gov/Archives/edgar/data/740260/000120336726000024/0001203367-26-000024.txt
LUSTIG MATTHEW J,,2026-07-16,2026-07-17,71,95.04,6747.84,A,A,95734,False,True,False,0001203367-26-000024,https://www.sec.gov/Archives/edgar/data/740260/000120336726000024/0001203367-26-000024.txt
EMBLER MICHAEL J,,2026-07-16,2026-07-17,71,95.04,6747.84,A,A,19273,False,True,False,0001209170-26-000014,https://www.sec.gov/Archives/edgar/data/740260/000120917026000014/0001209170-26-000014.txt
Barnes Melody C,,2026-07-16,2026-07-17,71,95.04,6747.84,A,A,35378,False,True,False,0001619369-26-000008,https://www.sec.gov/Archives/edgar/data/740260/000161936926000008/0001619369-26-000008.txt
