insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
ROTTENBERG JULIE B,GENERAL COUNSEL,2026-07-02,2026-07-06,2027,109.82,222605.14,A,M,20431,True,False,True,0001403161-26-000090,https://www.sec.gov/Archives/edgar/data/1403161/000140316126000090/0001403161-26-000090.txt
ROTTENBERG JULIE B,GENERAL COUNSEL,2026-07-02,2026-07-06,2027,360.0,729720.0,D,S,18404,True,False,True,0001403161-26-000090,https://www.sec.gov/Archives/edgar/data/1403161/000140316126000090/0001403161-26-000090.txt
MCINERNEY RYAN,Chief Executive Officer,2026-07-01,2026-07-02,10490,109.82,1152011.8,A,M,25664,True,True,True,0001403161-26-000089,https://www.sec.gov/Archives/edgar/data/1403161/000140316126000089/0001403161-26-000089.txt
MCINERNEY RYAN,Chief Executive Officer,2026-07-01,2026-07-02,8852,343.8849,3044069.13,D,S,16812,True,True,True,0001403161-26-000089,https://www.sec.gov/Archives/edgar/data/1403161/000140316126000089/0001403161-26-000089.txt
MCINERNEY RYAN,Chief Executive Officer,2026-07-01,2026-07-02,1638,344.5451,564364.87,D,S,15174,True,True,True,0001403161-26-000089,https://www.sec.gov/Archives/edgar/data/1403161/000140316126000089/0001403161-26-000089.txt
MCINERNEY RYAN,Chief Executive Officer,2026-06-29,2026-06-30,20970,109.82,2302925.4,A,M,36144,True,True,True,0001403161-26-000088,https://www.sec.gov/Archives/edgar/data/1403161/000140316126000088/0001403161-26-000088.txt
MCINERNEY RYAN,Chief Executive Officer,2026-06-29,2026-06-30,20970,340.2464,7134967.01,D,S,15174,True,True,True,0001403161-26-000088,https://www.sec.gov/Archives/edgar/data/1403161/000140316126000088/0001403161-26-000088.txt
Suh Chris,CHIEF FINANCIAL OFFICER,2026-05-12,2026-05-13,10639,324.8111,3455665.29,D,S,9872,False,False,True,0001403161-26-000083,https://www.sec.gov/Archives/edgar/data/1403161/000140316126000083/0001403161-26-000083.txt
MCINERNEY RYAN,Chief Executive Officer,2026-04-29,2026-04-30,31455,109.82,3454388.1,A,M,46629,True,True,True,0001403161-26-000081,https://www.sec.gov/Archives/edgar/data/1403161/000140316126000081/0001403161-26-000081.txt
MCINERNEY RYAN,Chief Executive Officer,2026-04-29,2026-04-30,31455,340.1432,10699204.36,D,S,15174,True,True,True,0001403161-26-000081,https://www.sec.gov/Archives/edgar/data/1403161/000140316126000081/0001403161-26-000081.txt
CARNEY LLOYD,,2026-03-11,2026-03-12,650,309.6198,201252.87,D,S,2679,False,True,False,0001403161-26-000065,https://www.sec.gov/Archives/edgar/data/1403161/000140316126000065/0001403161-26-000065.txt
Taneja Rajat,"PRESIDENT, TECHNOLOGY",2026-02-15,2026-02-18,35537,0.0,0.0,A,M,267649,False,False,True,0001403161-26-000058,https://www.sec.gov/Archives/edgar/data/1403161/000140316126000058/0001403161-26-000058.txt
Taneja Rajat,"PRESIDENT, TECHNOLOGY",2026-02-15,2026-02-18,17610,314.08,5530948.8,D,F,250039,False,False,True,0001403161-26-000058,https://www.sec.gov/Archives/edgar/data/1403161/000140316126000058/0001403161-26-000058.txt
MCINERNEY RYAN,Chief Executive Officer,2026-02-15,2026-02-18,1092,0.0,0.0,A,M,10493,False,True,True,0001403161-26-000055,https://www.sec.gov/Archives/edgar/data/1403161/000140316126000055/0001403161-26-000055.txt
MCINERNEY RYAN,Chief Executive Officer,2026-02-15,2026-02-18,10662,0.0,0.0,A,M,21155,False,True,True,0001403161-26-000055,https://www.sec.gov/Archives/edgar/data/1403161/000140316126000055/0001403161-26-000055.txt
MCINERNEY RYAN,Chief Executive Officer,2026-02-15,2026-02-18,5981,314.08,1878512.48,D,F,15174,False,True,True,0001403161-26-000055,https://www.sec.gov/Archives/edgar/data/1403161/000140316126000055/0001403161-26-000055.txt
MAHON TULLIER KELLY,"VICE CHAIR, CHF PPL & CORP AFF",2026-02-15,2026-02-18,35537,0.0,0.0,A,M,87204,False,False,True,0001403161-26-000057,https://www.sec.gov/Archives/edgar/data/1403161/000140316126000057/0001403161-26-000057.txt
MAHON TULLIER KELLY,"VICE CHAIR, CHF PPL & CORP AFF",2026-02-15,2026-02-18,17551,314.08,5512418.08,D,F,69653,False,False,True,0001403161-26-000057,https://www.sec.gov/Archives/edgar/data/1403161/000140316126000057/0001403161-26-000057.txt
Fabara Paul D,CHIEF RISK & CLIENT SVCS OFC,2026-02-15,2026-02-18,21322,0.0,0.0,A,M,47735,False,False,True,0001403161-26-000056,https://www.sec.gov/Archives/edgar/data/1403161/000140316126000056/0001403161-26-000056.txt
Fabara Paul D,CHIEF RISK & CLIENT SVCS OFC,2026-02-15,2026-02-18,10421,314.08,3273027.68,D,F,37314,False,False,True,0001403161-26-000056,https://www.sec.gov/Archives/edgar/data/1403161/000140316126000056/0001403161-26-000056.txt
Ready William J,,2026-01-27,2026-01-28,861,0.0,0.0,A,A,1112,False,True,False,0001403161-26-000030,https://www.sec.gov/Archives/edgar/data/1403161/000140316126000030/0001403161-26-000030.txt
Murphy Pam,,2026-01-27,2026-01-28,861,0.0,0.0,A,A,3437,False,True,False,0001403161-26-000032,https://www.sec.gov/Archives/edgar/data/1403161/000140316126000032/0001403161-26-000032.txt
MORRISON DENISE M,,2026-01-27,2026-01-28,861,0.0,0.0,A,A,10133,False,True,False,0001403161-26-000036,https://www.sec.gov/Archives/edgar/data/1403161/000140316126000036/0001403161-26-000036.txt
List Teri,,2026-01-27,2026-01-28,861,0.0,0.0,A,A,861,False,True,False,0001403161-26-000035,https://www.sec.gov/Archives/edgar/data/1403161/000140316126000035/0001403161-26-000035.txt
LUNDGREN JOHN F,,2026-01-27,2026-01-28,861,0.0,0.0,A,A,9769,False,True,False,0001403161-26-000033,https://www.sec.gov/Archives/edgar/data/1403161/000140316126000033/0001403161-26-000033.txt
Fernandez-Carbajal Francisco Javier,,2026-01-27,2026-01-28,861,0.0,0.0,A,A,33237,False,True,False,0001403161-26-000039,https://www.sec.gov/Archives/edgar/data/1403161/000140316126000039/0001403161-26-000039.txt
CARNEY LLOYD,,2026-01-27,2026-01-28,861,0.0,0.0,A,A,3329,False,True,False,0001403161-26-000037,https://www.sec.gov/Archives/edgar/data/1403161/000140316126000037/0001403161-26-000037.txt
MCINERNEY RYAN,Chief Executive Officer,2026-01-02,2026-01-05,10485,109.82,1151462.7,A,M,19886,True,True,True,0001403161-26-000002,https://www.sec.gov/Archives/edgar/data/1403161/000140316126000002/0001403161-26-000002.txt
MCINERNEY RYAN,Chief Executive Officer,2026-01-02,2026-01-05,10485,349.18,3661152.3,D,S,9401,True,True,True,0001403161-26-000002,https://www.sec.gov/Archives/edgar/data/1403161/000140316126000002/0001403161-26-000002.txt
ROTTENBERG JULIE B,GENERAL COUNSEL,2025-12-11,2025-12-12,2027,109.82,222605.14,A,M,20431,True,False,True,0001403161-25-000129,https://www.sec.gov/Archives/edgar/data/1403161/000140316125000129/0001403161-25-000129.txt
ROTTENBERG JULIE B,GENERAL COUNSEL,2025-12-11,2025-12-12,2027,345.0,699315.0,D,S,18404,True,False,True,0001403161-25-000129,https://www.sec.gov/Archives/edgar/data/1403161/000140316125000129/0001403161-25-000129.txt
MCINERNEY RYAN,Chief Executive Officer,2025-12-11,2025-12-12,10485,109.82,1151462.7,A,M,19886,True,True,True,0001403161-25-000127,https://www.sec.gov/Archives/edgar/data/1403161/000140316125000127/0001403161-25-000127.txt
MCINERNEY RYAN,Chief Executive Officer,2025-12-11,2025-12-12,10485,340.0702,3565636.05,D,S,9401,True,True,True,0001403161-25-000127,https://www.sec.gov/Archives/edgar/data/1403161/000140316125000127/0001403161-25-000127.txt
MAHON TULLIER KELLY,"VICE CHAIR, CHF PPL & CORP AFF",2025-12-04,2025-12-05,1535,0.0,0.0,D,G,51667,False,False,True,0001403161-25-000125,https://www.sec.gov/Archives/edgar/data/1403161/000140316125000125/0001403161-25-000125.txt
Taneja Rajat,"PRESIDENT, TECHNOLOGY",2025-12-02,2025-12-02,23743,330.1447,7838625.61,D,S,232112,True,False,True,0001403161-25-000121,https://www.sec.gov/Archives/edgar/data/1403161/000140316125000121/0001403161-25-000121.txt
Fabara Paul D,CHIEF RISK & CLIENT SVCS OFC,2025-12-02,2025-12-02,7556,331.45,2504436.2,D,S,26413,True,False,True,0001403161-25-000123,https://www.sec.gov/Archives/edgar/data/1403161/000140316125000123/0001403161-25-000123.txt
Taneja Rajat,"PRESIDENT, TECHNOLOGY",2025-11-30,2025-12-02,48239,0.0,0.0,A,M,280351,True,False,True,0001403161-25-000121,https://www.sec.gov/Archives/edgar/data/1403161/000140316125000121/0001403161-25-000121.txt
Taneja Rajat,"PRESIDENT, TECHNOLOGY",2025-11-30,2025-12-02,24496,334.44,8192442.24,D,F,255855,True,False,True,0001403161-25-000121,https://www.sec.gov/Archives/edgar/data/1403161/000140316125000121/0001403161-25-000121.txt
ROTTENBERG JULIE B,GENERAL COUNSEL,2025-11-30,2025-12-02,9648,0.0,0.0,A,M,23304,False,False,True,0001403161-25-000119,https://www.sec.gov/Archives/edgar/data/1403161/000140316125000119/0001403161-25-000119.txt
ROTTENBERG JULIE B,GENERAL COUNSEL,2025-11-30,2025-12-02,4900,334.44,1638756.0,D,F,18404,False,False,True,0001403161-25-000119,https://www.sec.gov/Archives/edgar/data/1403161/000140316125000119/0001403161-25-000119.txt
MCINERNEY RYAN,Chief Executive Officer,2025-11-30,2025-12-02,52098,0.0,0.0,A,M,61499,False,True,True,0001403161-25-000115,https://www.sec.gov/Archives/edgar/data/1403161/000140316125000115/0001403161-25-000115.txt
MCINERNEY RYAN,Chief Executive Officer,2025-11-30,2025-12-02,26456,334.44,8847944.64,D,F,35043,False,True,True,0001403161-25-000115,https://www.sec.gov/Archives/edgar/data/1403161/000140316125000115/0001403161-25-000115.txt
MAHON TULLIER KELLY,"VICE CHAIR, CHF PPL & CORP AFF",2025-11-30,2025-12-02,27786,0.0,0.0,A,M,67289,False,False,True,0001403161-25-000117,https://www.sec.gov/Archives/edgar/data/1403161/000140316125000117/0001403161-25-000117.txt
MAHON TULLIER KELLY,"VICE CHAIR, CHF PPL & CORP AFF",2025-11-30,2025-12-02,14087,334.44,4711256.28,D,F,53202,False,False,True,0001403161-25-000117,https://www.sec.gov/Archives/edgar/data/1403161/000140316125000117/0001403161-25-000117.txt
Fabara Paul D,CHIEF RISK & CLIENT SVCS OFC,2025-11-30,2025-12-02,15437,0.0,0.0,A,M,41850,True,False,True,0001403161-25-000123,https://www.sec.gov/Archives/edgar/data/1403161/000140316125000123/0001403161-25-000123.txt
Fabara Paul D,CHIEF RISK & CLIENT SVCS OFC,2025-11-30,2025-12-02,7881,334.44,2635721.64,D,F,33969,True,False,True,0001403161-25-000123,https://www.sec.gov/Archives/edgar/data/1403161/000140316125000123/0001403161-25-000123.txt
Taneja Rajat,"PRESIDENT, TECHNOLOGY",2025-11-21,2025-11-21,6305,330.0,2080650.0,D,S,232112,True,False,True,0001403161-25-000102,https://www.sec.gov/Archives/edgar/data/1403161/000140316125000102/0001403161-25-000102.txt
Fabara Paul D,CHIEF RISK & CLIENT SVCS OFC,2025-11-21,2025-11-21,2172,325.9287,707917.14,D,S,26413,True,False,True,0001403161-25-000104,https://www.sec.gov/Archives/edgar/data/1403161/000140316125000104/0001403161-25-000104.txt
Taneja Rajat,"PRESIDENT, TECHNOLOGY",2025-11-19,2025-11-21,4942,0.0,0.0,A,M,237054,True,False,True,0001403161-25-000102,https://www.sec.gov/Archives/edgar/data/1403161/000140316125000102/0001403161-25-000102.txt
Taneja Rajat,"PRESIDENT, TECHNOLOGY",2025-11-19,2025-11-21,4174,0.0,0.0,A,M,241228,True,False,True,0001403161-25-000102,https://www.sec.gov/Archives/edgar/data/1403161/000140316125000102/0001403161-25-000102.txt
Taneja Rajat,"PRESIDENT, TECHNOLOGY",2025-11-19,2025-11-21,3607,0.0,0.0,A,M,244835,True,False,True,0001403161-25-000102,https://www.sec.gov/Archives/edgar/data/1403161/000140316125000102/0001403161-25-000102.txt
Taneja Rajat,"PRESIDENT, TECHNOLOGY",2025-11-19,2025-11-21,6418,324.12,2080202.16,D,F,238417,True,False,True,0001403161-25-000102,https://www.sec.gov/Archives/edgar/data/1403161/000140316125000102/0001403161-25-000102.txt
Suh Chris,CHIEF FINANCIAL OFFICER,2025-11-19,2025-11-21,3005,0.0,0.0,A,M,20708,False,False,True,0001403161-25-000111,https://www.sec.gov/Archives/edgar/data/1403161/000140316125000111/0001403161-25-000111.txt
Suh Chris,CHIEF FINANCIAL OFFICER,2025-11-19,2025-11-21,2405,0.0,0.0,A,M,23113,False,False,True,0001403161-25-000111,https://www.sec.gov/Archives/edgar/data/1403161/000140316125000111/0001403161-25-000111.txt
Suh Chris,CHIEF FINANCIAL OFFICER,2025-11-19,2025-11-21,2602,324.12,843360.24,D,F,20511,False,False,True,0001403161-25-000111,https://www.sec.gov/Archives/edgar/data/1403161/000140316125000111/0001403161-25-000111.txt
ROTTENBERG JULIE B,GENERAL COUNSEL,2025-11-19,2025-11-21,989,0.0,0.0,A,M,12914,False,False,True,0001403161-25-000113,https://www.sec.gov/Archives/edgar/data/1403161/000140316125000113/0001403161-25-000113.txt
ROTTENBERG JULIE B,GENERAL COUNSEL,2025-11-19,2025-11-21,1169,0.0,0.0,A,M,14083,False,False,True,0001403161-25-000113,https://www.sec.gov/Archives/edgar/data/1403161/000140316125000113/0001403161-25-000113.txt
ROTTENBERG JULIE B,GENERAL COUNSEL,2025-11-19,2025-11-21,1202,0.0,0.0,A,M,15285,False,False,True,0001403161-25-000113,https://www.sec.gov/Archives/edgar/data/1403161/000140316125000113/0001403161-25-000113.txt
ROTTENBERG JULIE B,GENERAL COUNSEL,2025-11-19,2025-11-21,1629,324.12,527991.48,D,F,13656,False,False,True,0001403161-25-000113,https://www.sec.gov/Archives/edgar/data/1403161/000140316125000113/0001403161-25-000113.txt
MCINERNEY RYAN,Chief Executive Officer,2025-11-19,2025-11-21,5337,0.0,0.0,A,M,5874,False,True,True,0001403161-25-000100,https://www.sec.gov/Archives/edgar/data/1403161/000140316125000100/0001403161-25-000100.txt
MCINERNEY RYAN,Chief Executive Officer,2025-11-19,2025-11-21,6595,0.0,0.0,A,M,12469,False,True,True,0001403161-25-000100,https://www.sec.gov/Archives/edgar/data/1403161/000140316125000100/0001403161-25-000100.txt
