insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
Flowers Derek A.,Sr. EVP and Chief Risk Officer,2026-07-15,2026-07-17,67966,0.0,0.0,D,G,0,False,False,True,0000072971-26-000290,https://www.sec.gov/Archives/edgar/data/72971/000007297126000290/0000072971-26-000290.txt
Flowers Derek A.,Sr. EVP and Chief Risk Officer,2026-07-15,2026-07-17,67966,0.0,0.0,A,G,341739,False,False,True,0000072971-26-000290,https://www.sec.gov/Archives/edgar/data/72971/000007297126000290/0000072971-26-000290.txt
Rosenberg Jason M.,SEVP & Head of Public Affairs,2026-06-15,2026-06-17,17217,0.0,0.0,A,M,29649,False,False,True,0000072971-26-000273,https://www.sec.gov/Archives/edgar/data/72971/000007297126000273/0000072971-26-000273.txt
Rosenberg Jason M.,SEVP & Head of Public Affairs,2026-06-15,2026-06-17,8079,83.73,676454.67,D,F,21569,False,False,True,0000072971-26-000273,https://www.sec.gov/Archives/edgar/data/72971/000007297126000273/0000072971-26-000273.txt
WELLS FARGO & COMPANY/MN,,2026-06-10,2026-06-12,750,0.0,0.0,D,J,2238,False,False,False,0001193125-26-268965,https://www.sec.gov/Archives/edgar/data/72971/000119312526268965/0001193125-26-268965.txt
CRAVER THEODORE F JR,,2026-05-14,2026-05-14,89,0.0,0.0,D,G,0,False,True,False,0000072971-26-000269,https://www.sec.gov/Archives/edgar/data/72971/000007297126000269/0000072971-26-000269.txt
CRAVER THEODORE F JR,,2026-05-14,2026-05-14,89,0.0,0.0,A,G,27201,False,True,False,0000072971-26-000269,https://www.sec.gov/Archives/edgar/data/72971/000007297126000269/0000072971-26-000269.txt
WELLS FARGO & COMPANY/MN,,2026-04-27,2026-04-29,4504,0.0,0.0,A,J,4504,False,False,False,0001193125-26-193097,https://www.sec.gov/Archives/edgar/data/72971/000119312526193097/0001193125-26-193097.txt
WELLS FARGO & COMPANY/MN,,2026-04-27,2026-04-29,2329,0.0,0.0,D,J,0,False,False,False,0001193125-26-192767,https://www.sec.gov/Archives/edgar/data/72971/000119312526192767/0001193125-26-192767.txt
WELLS FARGO & COMPANY/MN,,2026-04-27,2026-04-29,2175,0.0,0.0,D,J,0,False,False,False,0001193125-26-192734,https://www.sec.gov/Archives/edgar/data/72971/000119312526192734/0001193125-26-192734.txt
Rivas Fernando,Sr. Executive Vice President,2026-03-16,2026-03-17,39,1000.0,39000.0,D,J,0,False,False,True,0000072971-26-000189,https://www.sec.gov/Archives/edgar/data/72971/000007297126000189/0000072971-26-000189.txt
WELLS FARGO & COMPANY/MN,,2026-03-11,2026-03-13,500,0.0,0.0,D,J,2988,False,False,False,0001193125-26-106505,https://www.sec.gov/Archives/edgar/data/72971/000119312526106505/0001193125-26-106505.txt
Van Beurden Saul,Sr. Executive Vice President,2026-03-05,2026-03-09,88175,0.0,0.0,A,M,304282,False,False,True,0000072971-26-000187,https://www.sec.gov/Archives/edgar/data/72971/000007297126000187/0000072971-26-000187.txt
Van Beurden Saul,Sr. Executive Vice President,2026-03-05,2026-03-09,45013,83.93,3777941.09,D,F,259268,False,False,True,0000072971-26-000187,https://www.sec.gov/Archives/edgar/data/72971/000007297126000187/0000072971-26-000187.txt
Sommers Barry,Sr. Executive Vice President,2026-03-05,2026-03-09,101035,0.0,0.0,A,M,285940,False,False,True,0000072971-26-000185,https://www.sec.gov/Archives/edgar/data/72971/000007297126000185/0000072971-26-000185.txt
Sommers Barry,Sr. Executive Vice President,2026-03-05,2026-03-09,50699,83.93,4255167.07,D,F,235241,False,False,True,0000072971-26-000185,https://www.sec.gov/Archives/edgar/data/72971/000007297126000185/0000072971-26-000185.txt
Santos Kleber,Sr. Executive Vice President,2026-03-05,2026-03-09,60914,0.0,0.0,A,M,140790,False,False,True,0000072971-26-000179,https://www.sec.gov/Archives/edgar/data/72971/000007297126000179/0000072971-26-000179.txt
Santos Kleber,Sr. Executive Vice President,2026-03-05,2026-03-09,29929,83.93,2511940.97,D,F,110860,False,False,True,0000072971-26-000179,https://www.sec.gov/Archives/edgar/data/72971/000007297126000179/0000072971-26-000179.txt
Santomassimo Michael P.,Sr. EVP & CFO,2026-03-05,2026-03-09,125481,0.0,0.0,A,M,569155,False,False,True,0000072971-26-000181,https://www.sec.gov/Archives/edgar/data/72971/000007297126000181/0000072971-26-000181.txt
Santomassimo Michael P.,Sr. EVP & CFO,2026-03-05,2026-03-09,64036,83.93,5374541.48,D,F,505119,False,False,True,0000072971-26-000181,https://www.sec.gov/Archives/edgar/data/72971/000007297126000181/0000072971-26-000181.txt
SCHARF CHARLES W,Chairman and CEO,2026-03-05,2026-03-09,379767,0.0,0.0,A,M,1498288,False,True,True,0000072971-26-000183,https://www.sec.gov/Archives/edgar/data/72971/000007297126000183/0000072971-26-000183.txt
SCHARF CHARLES W,Chairman and CEO,2026-03-05,2026-03-09,210011,83.93,17626223.23,D,F,1288276,False,True,True,0000072971-26-000183,https://www.sec.gov/Archives/edgar/data/72971/000007297126000183/0000072971-26-000183.txt
Powell Scott,SEVP & Chief Operating Officer,2026-03-05,2026-03-09,98678,0.0,0.0,A,M,451132,False,False,True,0000072971-26-000177,https://www.sec.gov/Archives/edgar/data/72971/000007297126000177/0000072971-26-000177.txt
Powell Scott,SEVP & Chief Operating Officer,2026-03-05,2026-03-09,50375,83.93,4227973.75,D,F,400757,False,False,True,0000072971-26-000177,https://www.sec.gov/Archives/edgar/data/72971/000007297126000177/0000072971-26-000177.txt
Patterson Ellen R,Sr. EVP and General Counsel,2026-03-05,2026-03-09,97258,0.0,0.0,A,M,266755,False,False,True,0000072971-26-000175,https://www.sec.gov/Archives/edgar/data/72971/000007297126000175/0000072971-26-000175.txt
Patterson Ellen R,Sr. EVP and General Counsel,2026-03-05,2026-03-09,49639,83.93,4166201.27,D,F,217115,False,False,True,0000072971-26-000175,https://www.sec.gov/Archives/edgar/data/72971/000007297126000175/0000072971-26-000175.txt
Ling Bei,Sr. Executive Vice President,2026-03-05,2026-03-09,47479,0.0,0.0,A,M,65448,False,False,True,0000072971-26-000173,https://www.sec.gov/Archives/edgar/data/72971/000007297126000173/0000072971-26-000173.txt
Ling Bei,Sr. Executive Vice President,2026-03-05,2026-03-09,24227,83.93,2033372.11,D,F,41220,False,False,True,0000072971-26-000173,https://www.sec.gov/Archives/edgar/data/72971/000007297126000173/0000072971-26-000173.txt
