date,value
2019-01-05,5396.0
2019-01-12,5293.0
2019-01-19,6860.0
2019-01-26,8570.0
2019-02-02,10968.0
2019-02-09,13580.0
2019-02-16,13869.0
2019-02-23,14186.0
2019-03-02,13877.0
2019-03-09,13637.0
2019-03-16,13945.0
2019-03-23,10959.0
2019-03-30,8270.0
2019-04-06,5489.0
2019-04-13,3778.0
2019-04-20,2411.0
2019-04-27,1444.0
2019-05-04,972.0
2019-05-11,681.0
2019-05-18,602.0
2019-05-25,536.0
2019-06-01,443.0
2019-06-08,352.0
2019-06-15,264.0
2019-06-22,199.0
2019-06-29,190.0
2019-07-06,215.0
2019-07-13,183.0
2019-07-20,185.0
2019-07-27,189.0
2019-08-03,189.0
2019-08-10,166.0
2019-08-17,173.0
2019-08-24,210.0
2019-08-31,363.0
2019-09-07,366.0
2019-09-14,332.0
2019-09-21,415.0
2019-09-28,476.0
2019-10-05,260.0
2019-10-12,327.0
2019-10-19,359.0
2019-10-26,555.0
2019-11-02,777.0
2019-11-09,1489.0
2019-11-16,2124.0
2019-11-23,3484.0
2019-11-30,3872.0
2019-12-07,4887.0
2019-12-14,7255.0
2019-12-21,12276.0
2019-12-28,17244.0
2020-01-04,15309.0
2020-01-11,14037.0
2020-01-18,15732.0
2020-01-25,18242.0
2020-02-01,21773.0
2020-02-08,21747.0
2020-02-15,20552.0
2020-02-22,18469.0
2020-02-29,16076.0
2020-03-07,14428.0
2020-03-14,11767.0
2020-03-21,5483.0
2020-03-28,1039.0
2020-04-04,318.0
2020-04-11,121.0
2020-04-18,90.0
2020-04-25,28.0
2020-05-02,27.0
2020-05-09,29.0
2020-05-16,24.0
2020-05-23,16.0
2020-05-30,10.0
2020-06-06,21.0
2020-06-13,16.0
2020-06-20,20.0
2020-06-27,16.0
2020-07-04,13.0
2020-07-11,11.0
2020-07-18,23.0
2020-07-25,9.0
2020-08-01,8.0
2020-08-08,11.0
2020-08-15,8.0
2020-08-22,14.0
2020-08-29,20.0
2020-09-05,13.0
2020-09-12,13.0
2020-09-19,32.0
2020-09-26,20.0
2020-10-03,40.0
2020-10-10,58.0
2020-10-17,53.0
2020-10-24,42.0
2020-10-31,41.0
2020-11-07,56.0
2020-11-14,76.0
2020-11-21,88.0
2020-11-28,55.0
2020-12-05,96.0
2020-12-12,102.0
2020-12-19,117.0
2020-12-26,101.0
2021-01-02,107.0
2021-01-09,123.0
2021-01-16,72.0
2021-01-23,83.0
2021-01-30,62.0
2021-02-06,74.0
2021-02-13,46.0
2021-02-20,41.0
2021-02-27,42.0
2021-03-06,31.0
2021-03-13,36.0
2021-03-20,45.0
2021-03-27,30.0
2021-04-03,22.0
2021-04-10,24.0
2021-04-17,21.0
2021-04-24,28.0
2021-05-01,26.0
2021-05-08,25.0
2021-05-15,30.0
2021-05-22,43.0
2021-05-29,37.0
2021-06-05,22.0
2021-06-12,26.0
2021-06-19,29.0
2021-06-26,29.0
2021-07-03,16.0
2021-07-10,14.0
2021-07-17,28.0
2021-07-24,18.0
2021-07-31,23.0
2021-08-07,32.0
2021-08-14,19.0
2021-08-21,24.0
2021-08-28,24.0
2021-09-04,35.0
2021-09-11,20.0
2021-09-18,25.0
2021-09-25,29.0
2021-10-02,52.0
2021-10-09,78.0
2021-10-16,56.0
2021-10-23,65.0
2021-10-30,132.0
2021-11-06,161.0
2021-11-13,345.0
2021-11-20,732.0
2021-11-27,1324.0
2021-12-04,2466.0
2021-12-11,3964.0
2021-12-18,6742.0
2021-12-25,7318.0
2022-01-01,6197.0
2022-01-08,3674.0
2022-01-15,2672.0
2022-01-22,2262.0
2022-01-29,1768.0
2022-02-05,1611.0
2022-02-12,1902.0
2022-02-19,2590.0
2022-02-26,2846.0
2022-03-05,3655.0
2022-03-12,4260.0
2022-03-19,5003.0
2022-03-26,5519.0
2022-04-02,5679.0
2022-04-09,6694.0
2022-04-16,6870.0
2022-04-23,6355.0
2022-04-30,6278.0
2022-05-07,6753.0
2022-05-14,6149.0
2022-05-21,5086.0
2022-05-28,4795.0
2022-06-04,3831.0
2022-06-11,2485.0
2022-06-18,1642.0
2022-06-25,1124.0
2022-07-02,817.0
2022-07-09,623.0
2022-07-16,488.0
2022-07-23,386.0
2022-07-30,299.0
2022-08-06,269.0
2022-08-13,251.0
2022-08-20,257.0
2022-08-27,341.0
2022-09-03,370.0
2022-09-10,450.0
2022-09-17,540.0
2022-09-24,840.0
2022-10-01,1351.0
2022-10-08,2089.0
2022-10-15,3049.0
2022-10-22,5188.0
2022-10-29,9454.0
2022-11-05,17098.0
2022-11-12,21526.0
2022-11-19,28939.0
2022-11-26,40775.0
