date,monthly_return,source
2017-04-01,0.061146,yahoo
2017-05-01,0.140044,yahoo
2017-06-01,0.138836,yahoo
2017-07-01,0.104494,yahoo
2017-08-01,0.124958,yahoo
2017-09-01,0.032705,yahoo
2017-10-01,0.063047,yahoo
2017-11-01,0.081823,yahoo
2017-12-01,0.059645,yahoo
2018-01-01,0.022156,yahoo
2018-02-01,0.017575,yahoo
2018-03-01,0.09384,yahoo
2018-04-01,0.172632,yahoo
2018-05-01,-0.066427,yahoo
2018-06-01,-0.036538,yahoo
2018-07-01,-0.088822,yahoo
2018-08-01,0.090909,yahoo
2018-09-01,-0.151606,yahoo
2018-10-01,0.152071,yahoo
2018-11-01,-0.015408,yahoo
2018-12-01,0.046427,yahoo
2019-01-01,0.0668,yahoo
2019-02-01,0.130841,yahoo
2019-03-01,0.049587,yahoo
2019-04-01,-0.020472,yahoo
2019-05-01,0.052251,yahoo
2019-06-01,0.116119,yahoo
2019-07-01,0.052704,yahoo
2019-08-01,0.020806,yahoo
2019-09-01,-0.050955,yahoo
2019-10-01,-0.092617,yahoo
2019-11-01,0.065089,yahoo
2019-12-01,0.128472,yahoo
2020-01-01,-0.127385,yahoo
2020-02-01,0.143159,yahoo
2020-03-01,0.077113,yahoo
2020-04-01,0.045819,yahoo
2020-05-01,0.098576,yahoo
2020-06-01,0.035892,yahoo
2020-07-01,0.076035,yahoo
2020-08-01,0.018784,yahoo
2020-09-01,-0.045654,yahoo
2020-10-01,0.160074,yahoo
2020-11-01,0.147502,yahoo
2020-12-01,-0.091914,yahoo
2021-01-01,-0.063166,yahoo
2021-02-01,0.058489,yahoo
2021-03-01,-0.055257,yahoo
2021-04-01,0.155971,yahoo
2021-05-01,-0.016514,yahoo
2021-06-01,0.101465,yahoo
2021-07-01,0.052871,yahoo
2021-08-01,0.023413,yahoo
2021-09-01,0.072848,yahoo
2021-10-01,-0.045455,yahoo
2021-11-01,0.079659,yahoo
2021-12-01,-0.145113,yahoo
2022-01-01,-0.059873,yahoo
2022-02-01,0.153455,yahoo
2022-03-01,-0.153891,yahoo
2022-04-01,0.038181,yahoo
2022-05-01,0.066533,yahoo
2022-06-01,0.133229,yahoo
2022-07-01,-0.049239,yahoo
2022-08-01,-0.121327,yahoo
2022-09-01,0.033775,yahoo
2022-10-01,0.165279,yahoo
2022-11-01,0.031611,yahoo
2022-12-01,0.0421,yahoo
2023-01-01,-0.049859,yahoo
2023-02-01,0.052476,yahoo
2023-03-01,0.082588,yahoo
2023-04-01,-0.017241,yahoo
2023-05-01,0.141072,yahoo
2023-06-01,-0.060025,yahoo
2023-07-01,-0.15102,yahoo
2023-08-01,-0.063077,yahoo
2023-09-01,0.122535,yahoo
2023-10-01,0.118695,yahoo
2023-11-01,0.033423,yahoo
2023-12-01,-0.058172,yahoo
2024-01-01,0.070984,yahoo
2024-02-01,-0.165698,yahoo
2024-03-01,0.005675,yahoo
2024-04-01,0.005642,yahoo
2024-05-01,0.03596,yahoo
2024-06-01,-0.133432,yahoo
2024-07-01,-0.083807,yahoo
2024-08-01,0.087442,yahoo
2024-09-01,-0.054177,yahoo
2024-10-01,0.163401,yahoo
2024-11-01,0.010106,yahoo
2024-12-01,0.155208,yahoo
2025-01-01,0.1006,yahoo
2025-02-01,-0.089185,yahoo
2025-03-01,0.171467,yahoo
2025-04-01,0.039334,yahoo
2025-05-01,-0.04294,yahoo
2025-06-01,-0.056844,yahoo
2025-07-01,-0.084257,yahoo
2025-08-01,-0.03698,yahoo
2025-09-01,0.007314,yahoo
2025-10-01,-0.073519,yahoo
2025-11-01,0.012736,yahoo
2025-12-01,-0.091415,yahoo
2026-01-01,0.070003,yahoo
2026-02-01,-0.169652,yahoo
2026-03-01,-0.039545,yahoo
2026-04-01,-0.039301,yahoo
2026-05-01,-0.077922,yahoo
2026-06-01,0.126408,yahoo
2026-07-01,-0.004376,yahoo
2026-08-01,0.005651,yahoo
