date,monthly_return,source
2021-12-01,-0.007209,yahoo
2022-01-01,0.001037,yahoo
2022-02-01,-0.00228,yahoo
2022-03-01,0.004362,yahoo
2022-04-01,0.004137,yahoo
2022-05-01,-0.005149,yahoo
2022-06-01,0.003106,yahoo
2022-07-01,0.006192,yahoo
2022-08-01,-0.001026,yahoo
2022-09-01,0.008214,yahoo
2022-10-01,0.005906,yahoo
2022-11-01,0.007289,yahoo
2022-12-01,0.005025,yahoo
2023-01-01,0.0119,yahoo
2023-02-01,0.986362,yahoo
2023-03-01,-0.462687,yahoo
2023-04-01,-0.282407,yahoo
2023-05-01,-0.114839,yahoo
2023-06-01,0.193877,yahoo
2023-07-01,0.031746,yahoo
2023-08-01,-0.436686,yahoo
2023-09-01,-0.233193,yahoo
2023-10-01,-0.180822,yahoo
2023-11-01,-0.046823,yahoo
2023-12-01,-0.103509,yahoo
2024-01-01,0.479452,yahoo
2024-02-01,0.595238,yahoo
2024-03-01,0.036484,yahoo
2024-04-01,-0.1904,yahoo
2024-05-01,-0.009881,yahoo
2024-06-01,-0.341317,yahoo
2024-07-01,0.206061,yahoo
2024-08-01,0.248744,yahoo
2024-09-01,0.619718,yahoo
2024-10-01,-0.031056,yahoo
2024-11-01,1.096154,yahoo
2024-12-01,0.110703,yahoo
2025-01-01,0.193833,yahoo
2025-02-01,-0.327491,yahoo
2025-03-01,-0.489026,yahoo
2025-04-01,0.100671,yahoo
2025-05-01,0.391463,yahoo
2025-06-01,-0.047327,yahoo
2025-07-01,0.026679,yahoo
2025-08-01,-0.214158,yahoo
2025-09-01,0.199544,yahoo
2025-10-01,0.13403,yahoo
2025-11-01,-0.203688,yahoo
2025-12-01,0.708421,yahoo
2026-01-01,0.170055,yahoo
2026-02-01,-0.132175,yahoo
2026-03-01,0.126214,yahoo
2026-04-01,0.365841,yahoo
2026-05-01,0.728994,yahoo
2026-06-01,-0.511978,yahoo
2026-07-01,-0.423095,yahoo
2026-08-01,0.278768,yahoo
