date,monthly_return,source
2021-01-01,0.299035,yahoo
2021-02-01,0.028878,yahoo
2021-03-01,-0.222935,yahoo
2021-04-01,-0.170279,yahoo
2021-05-01,0.106965,yahoo
2021-06-01,-0.107865,yahoo
2021-07-01,-0.001259,yahoo
2021-08-01,-0.098361,yahoo
2021-09-01,0.281119,yahoo
2021-10-01,-0.06441,yahoo
2021-11-01,-0.112019,yahoo
2021-12-01,-0.118265,yahoo
2022-01-01,-0.256334,yahoo
2022-02-01,0.002004,yahoo
2022-03-01,0.46,yahoo
2022-04-01,0.110959,yahoo
2022-05-01,-0.108508,yahoo
2022-06-01,-0.254495,yahoo
2022-07-01,-0.150278,yahoo
2022-08-01,0.030568,yahoo
2022-09-01,-0.216102,yahoo
2022-10-01,0.081081,yahoo
2022-11-01,-0.3525,yahoo
2022-12-01,-0.3861,yahoo
2023-01-01,0.251572,yahoo
2023-02-01,-0.055276,yahoo
2023-03-01,-0.425532,yahoo
2023-04-01,-0.074074,yahoo
2023-05-01,-0.133,yahoo
2023-06-01,-0.008074,yahoo
2023-07-01,0.895349,yahoo
2023-08-01,-0.386503,yahoo
2023-09-01,-0.39,yahoo
2023-10-01,-0.378689,yahoo
2023-11-01,1.889182,yahoo
2023-12-01,0.39726,yahoo
2024-01-01,-0.104575,yahoo
2024-02-01,-0.072993,yahoo
2024-03-01,-0.23622,yahoo
2024-04-01,-0.137113,yahoo
2024-05-01,-0.135006,yahoo
2024-06-01,-0.198895,yahoo
2024-07-01,0.706897,yahoo
2024-08-01,-0.119192,yahoo
2024-09-01,-0.115826,yahoo
2024-10-01,-0.006485,yahoo
2024-11-01,0.284595,yahoo
2024-12-01,1.601626,yahoo
2025-01-01,-0.316406,yahoo
2025-02-01,-0.437714,yahoo
2025-03-01,0.087398,yahoo
2025-04-01,-0.273832,yahoo
2025-05-01,0.570142,yahoo
2025-06-01,0.57377,yahoo
2025-07-01,0.104167,yahoo
2025-08-01,1.764151,yahoo
2025-09-01,0.317406,yahoo
2025-10-01,-0.165803,yahoo
2025-11-01,0.226708,yahoo
2025-12-01,0.235443,yahoo
2026-01-01,0.061475,yahoo
2026-02-01,-0.027027,yahoo
2026-03-01,-0.103175,yahoo
2026-04-01,0.110619,yahoo
2026-05-01,0.316733,yahoo
2026-06-01,-0.376702,yahoo
2026-07-01,-0.091019,yahoo
2026-08-01,0.166889,yahoo
