date,monthly_return,source
2016-07-01,0.0,yahoo
2016-08-01,0.0,yahoo
2016-09-01,0.0,yahoo
2016-10-01,0.0,yahoo
2016-11-01,0.0,yahoo
2016-12-01,0.0,yahoo
2017-01-01,0.0,yahoo
2017-02-01,1.0,yahoo
2017-03-01,0.0,yahoo
2017-04-01,0.5,yahoo
2017-05-01,-0.333333,yahoo
2017-06-01,-0.5,yahoo
2017-07-01,0.0,yahoo
2017-08-01,0.0,yahoo
2017-09-01,2.0,yahoo
2017-10-01,0.0,yahoo
2017-11-01,0.666667,yahoo
2017-12-01,-0.2,yahoo
2018-01-01,6.5,yahoo
2018-02-01,3.0,yahoo
2018-03-01,-0.5,yahoo
2018-04-01,-0.533333,yahoo
2018-05-01,0.107143,yahoo
2018-06-01,-0.387097,yahoo
2018-07-01,0.368421,yahoo
2018-08-01,-0.038462,yahoo
2018-09-01,1.3,yahoo
2018-10-01,-0.391304,yahoo
2018-11-01,0.0,yahoo
2018-12-01,-0.571429,yahoo
2019-01-01,0.783333,yahoo
2019-02-01,0.186916,yahoo
2019-03-01,-0.362205,yahoo
2019-04-01,-0.135803,yahoo
2019-05-01,0.428571,yahoo
2019-06-01,-0.11,yahoo
2019-07-01,0.123596,yahoo
2019-08-01,-0.17,yahoo
2019-09-01,-0.156627,yahoo
2019-10-01,0.0,yahoo
2019-11-01,-0.142857,yahoo
2019-12-01,0.0,yahoo
2020-01-01,-0.25,yahoo
2020-02-01,0.551111,yahoo
2020-03-01,-0.369627,yahoo
2020-04-01,-0.318182,yahoo
2020-05-01,0.366667,yahoo
2020-06-01,0.307317,yahoo
2020-07-01,-0.160448,yahoo
2020-08-01,0.817778,yahoo
2020-09-01,-0.0978,yahoo
2020-10-01,-0.074526,yahoo
2020-11-01,0.557833,yahoo
2020-12-01,1.652255,yahoo
2021-01-01,-0.206945,yahoo
2021-02-01,-0.209115,yahoo
2021-03-01,-0.20904,yahoo
2021-04-01,-0.127143,yahoo
2021-05-01,-0.022095,yahoo
2021-06-01,-0.129707,yahoo
2021-07-01,0.796154,yahoo
2021-08-01,-0.190578,yahoo
2021-09-01,-0.176587,yahoo
2021-10-01,0.004016,yahoo
2021-11-01,-0.152,yahoo
2021-12-01,-0.356604,yahoo
2022-01-01,-0.211144,yahoo
2022-02-01,0.018587,yahoo
2022-03-01,-0.051095,yahoo
2022-04-01,-0.411538,yahoo
2022-05-01,0.48366,yahoo
2022-06-01,0.048458,yahoo
2022-07-01,0.289916,yahoo
2022-08-01,-0.035831,yahoo
2022-09-01,-0.152027,yahoo
2022-10-01,-0.111554,yahoo
2022-11-01,-0.008969,yahoo
2022-12-01,-0.316742,yahoo
2023-01-01,0.165563,yahoo
2023-02-01,-0.181818,yahoo
2023-03-01,-0.090278,yahoo
2023-04-01,-0.122137,yahoo
2023-05-01,0.017391,yahoo
2023-06-01,0.008547,yahoo
2023-07-01,0.20339,yahoo
2023-08-01,-0.169014,yahoo
2023-09-01,-0.084746,yahoo
2023-10-01,-0.326852,yahoo
2023-11-01,0.225585,yahoo
2023-12-01,0.024691,yahoo
2024-01-01,-0.11172,yahoo
2024-02-01,0.024661,yahoo
2024-03-01,0.191336,yahoo
2024-04-01,-0.224242,yahoo
2024-05-01,-0.057292,yahoo
2024-06-01,-0.30663,yahoo
2024-07-01,0.358566,yahoo
2024-08-01,-0.05132,yahoo
2024-09-01,0.009274,yahoo
2024-10-01,0.715161,yahoo
2024-11-01,5.303571,yahoo
2024-12-01,1.344193,yahoo
2025-01-01,-0.37281,yahoo
2025-02-01,-0.415703,yahoo
2025-03-01,0.319044,yahoo
2025-04-01,-0.1575,yahoo
2025-05-01,0.680267,yahoo
2025-06-01,0.692715,yahoo
2025-07-01,-0.225874,yahoo
2025-08-01,0.063342,yahoo
2025-09-01,0.166667,yahoo
2025-10-01,-0.092341,yahoo
2025-11-01,-0.29982,yahoo
2025-12-01,-0.123077,yahoo
2026-01-01,-0.096491,yahoo
2026-02-01,-0.092772,yahoo
2026-03-01,-0.185493,yahoo
2026-04-01,0.316788,yahoo
2026-05-01,0.325942,yahoo
2026-06-01,-0.188963,yahoo
2026-07-01,-0.204124,yahoo
