date,monthly_return,source
2021-04-01,0.149931,yahoo
2021-05-01,0.257813,yahoo
2021-06-01,-0.040418,yahoo
2021-07-01,-0.144477,yahoo
2021-08-01,0.065861,yahoo
2021-09-01,-0.07922,yahoo
2021-10-01,0.112111,yahoo
2021-11-01,0.500833,yahoo
2021-12-01,-0.181919,yahoo
2022-01-01,-0.361574,yahoo
2022-02-01,-0.216975,yahoo
2022-03-01,-0.103355,yahoo
2022-04-01,-0.337154,yahoo
2022-05-01,-0.023165,yahoo
2022-06-01,0.097528,yahoo
2022-07-01,0.306452,yahoo
2022-08-01,-0.088982,yahoo
2022-09-01,-0.08361,yahoo
2022-10-01,0.248326,yahoo
2022-11-01,-0.289897,yahoo
2022-12-01,-0.104186,yahoo
2023-01-01,0.307449,yahoo
2023-02-01,-0.015318,yahoo
2023-03-01,0.22762,yahoo
2023-04-01,-0.208537,yahoo
2023-05-01,0.175843,yahoo
2023-06-01,-0.037267,yahoo
2023-07-01,-0.026055,yahoo
2023-08-01,-0.279236,yahoo
2023-09-01,0.023683,yahoo
2023-10-01,0.098412,yahoo
2023-11-01,0.235775,yahoo
2023-12-01,0.163063,yahoo
2024-01-01,-0.151137,yahoo
2024-02-01,0.028086,yahoo
2024-03-01,-0.043108,yahoo
2024-04-01,-0.068622,yahoo
2024-05-01,-0.054556,yahoo
2024-06-01,0.106782,yahoo
2024-07-01,0.115829,yahoo
2024-08-01,0.059489,yahoo
2024-09-01,0.006138,yahoo
2024-10-01,0.16855,yahoo
2024-11-01,-0.030742,yahoo
2024-12-01,0.154199,yahoo
2025-01-01,0.22831,yahoo
2025-02-01,-0.104545,yahoo
2025-03-01,-0.084067,yahoo
2025-04-01,0.150283,yahoo
2025-05-01,0.297241,yahoo
2025-06-01,0.209473,yahoo
2025-07-01,0.309791,yahoo
2025-08-01,-0.095798,yahoo
2025-09-01,0.111807,yahoo
2025-10-01,-0.179036,yahoo
2025-11-01,-0.164351,yahoo
2025-12-01,-0.147322,yahoo
2026-01-01,-0.188449,yahoo
2026-02-01,0.0441,yahoo
2026-03-01,-0.176231,yahoo
2026-04-01,-0.022984,yahoo
2026-05-01,-0.146761,yahoo
2026-06-01,0.15334,yahoo
2026-07-01,-0.345348,yahoo
2026-08-01,0.01236,yahoo
