date,monthly_return,source
2021-12-01,-0.134185,yahoo
2022-01-01,-0.365995,yahoo
2022-02-01,0.027685,yahoo
2022-03-01,-0.256365,yahoo
2022-04-01,-0.398089,yahoo
2022-05-01,0.03836,yahoo
2022-06-01,-0.180255,yahoo
2022-07-01,0.332556,yahoo
2022-08-01,-0.046356,yahoo
2022-09-01,0.006114,yahoo
2022-10-01,0.062595,yahoo
2022-11-01,-0.083786,yahoo
2022-12-01,-0.424782,yahoo
2023-01-01,0.052632,yahoo
2023-02-01,-0.005155,yahoo
2023-03-01,-0.197927,yahoo
2023-04-01,-0.171835,yahoo
2023-05-01,0.148986,yahoo
2023-06-01,0.131025,yahoo
2023-07-01,0.659064,yahoo
2023-08-01,-0.177641,yahoo
2023-09-01,0.068192,yahoo
2023-10-01,-0.331961,yahoo
2023-11-01,0.033292,yahoo
2023-12-01,0.399761,yahoo
2024-01-01,-0.3474,yahoo
2024-02-01,-0.260614,yahoo
2024-03-01,-0.032686,yahoo
2024-04-01,-0.187215,yahoo
2024-05-01,0.226966,yahoo
2024-06-01,0.228938,yahoo
2024-07-01,0.222802,yahoo
2024-08-01,-0.13894,yahoo
2024-09-01,-0.205945,yahoo
2024-10-01,-0.099822,yahoo
2024-11-01,0.210891,yahoo
2024-12-01,0.08749,yahoo
2025-01-01,-0.055639,yahoo
2025-02-01,-0.057325,yahoo
2025-03-01,0.05152,yahoo
2025-04-01,0.097189,yahoo
2025-05-01,0.06369,yahoo
2025-06-01,-0.05437,yahoo
2025-07-01,-0.063319,yahoo
2025-08-01,0.05439,yahoo
2025-09-01,0.081798,yahoo
2025-10-01,-0.075613,yahoo
2025-11-01,0.242447,yahoo
2025-12-01,0.169039,yahoo
2026-01-01,-0.251649,yahoo
2026-02-01,0.039322,yahoo
2026-03-01,-0.018265,yahoo
2026-04-01,0.089701,yahoo
2026-05-01,-0.006098,yahoo
2026-06-01,0.064417,yahoo
2026-07-01,-0.03804,yahoo
