date,monthly_return,source
2016-07-01,0.1,yahoo
2016-08-01,-0.033058,yahoo
2016-09-01,0.094017,yahoo
2016-10-01,-0.046875,yahoo
2016-11-01,-0.098361,yahoo
2016-12-01,-0.172727,yahoo
2017-01-01,0.043956,yahoo
2017-02-01,-0.021053,yahoo
2017-03-01,-0.322581,yahoo
2017-04-01,-0.095238,yahoo
2017-05-01,-0.122807,yahoo
2017-06-01,0.06,yahoo
2017-07-01,0.226415,yahoo
2017-08-01,-0.015385,yahoo
2017-09-01,0.171875,yahoo
2017-10-01,-0.066667,yahoo
2017-11-01,0.185714,yahoo
2017-12-01,-0.15261,yahoo
2018-01-01,-0.170616,yahoo
2018-02-01,0.051429,yahoo
2018-03-01,-0.043478,yahoo
2018-04-01,-0.096591,yahoo
2018-05-01,-0.050314,yahoo
2018-06-01,-0.278146,yahoo
2018-07-01,0.908257,yahoo
2018-08-01,-0.168269,yahoo
2018-09-01,0.017341,yahoo
2018-10-01,-0.096591,yahoo
2018-11-01,0.08805,yahoo
2018-12-01,0.017341,yahoo
2019-01-01,0.159091,yahoo
2019-02-01,-0.142157,yahoo
2019-03-01,0.057143,yahoo
2019-04-01,-0.07027,yahoo
2019-05-01,-0.348837,yahoo
2019-06-01,-0.107143,yahoo
2019-07-01,-0.01,yahoo
2019-08-01,-0.030303,yahoo
2019-09-01,0.1875,yahoo
2019-10-01,0.008772,yahoo
2019-11-01,0.043478,yahoo
2019-12-01,-0.141667,yahoo
2020-01-01,0.058252,yahoo
2020-02-01,-0.073395,yahoo
2020-03-01,-0.079208,yahoo
2020-04-01,0.075269,yahoo
2020-05-01,0.02,yahoo
2020-06-01,0.245098,yahoo
2020-07-01,0.314961,yahoo
2020-08-01,-0.167665,yahoo
2020-09-01,-0.136691,yahoo
2020-10-01,-0.033333,yahoo
2020-11-01,0.146552,yahoo
2020-12-01,0.165413,yahoo
2021-01-01,0.870968,yahoo
2021-02-01,-0.055172,yahoo
2021-03-01,0.321168,yahoo
2021-04-01,-0.198895,yahoo
2021-05-01,-0.096552,yahoo
2021-06-01,0.187023,yahoo
2021-07-01,0.065916,yahoo
2021-08-01,-0.088989,yahoo
2021-09-01,-0.241722,yahoo
2021-10-01,-0.19869,yahoo
2021-11-01,-0.19346,yahoo
2021-12-01,-0.10473,yahoo
2022-01-01,-0.339623,yahoo
2022-02-01,-0.165714,yahoo
2022-03-01,-0.013699,yahoo
2022-04-01,-0.284722,yahoo
2022-05-01,-0.15534,yahoo
2022-06-01,0.034483,yahoo
2022-07-01,0.077778,yahoo
2022-08-01,0.154639,yahoo
2022-09-01,-0.196429,yahoo
2022-10-01,-0.166667,yahoo
2022-11-01,-0.253333,yahoo
2022-12-01,-0.446429,yahoo
2023-01-01,0.741936,yahoo
2023-02-01,-0.240741,yahoo
2023-03-01,-0.073171,yahoo
2023-04-01,-0.310526,yahoo
2023-05-01,0.198473,yahoo
2023-06-01,-0.050955,yahoo
2023-07-01,-0.040268,yahoo
2023-08-01,-0.174825,yahoo
2023-09-01,-0.322034,yahoo
2023-10-01,-0.00625,yahoo
2023-11-01,-0.138365,yahoo
2023-12-01,0.09489,yahoo
2024-01-01,-0.18,yahoo
2024-02-01,0.154472,yahoo
2024-03-01,0.028169,yahoo
2024-04-01,-0.294521,yahoo
2024-05-01,-0.145631,yahoo
2024-06-01,-0.318182,yahoo
2024-07-01,0.083333,yahoo
2024-08-01,0.046154,yahoo
2024-09-01,0.088235,yahoo
2024-10-01,-0.081081,yahoo
2024-11-01,-0.088235,yahoo
2024-12-01,0.032258,yahoo
2025-01-01,-0.328125,yahoo
2025-02-01,-0.139535,yahoo
2025-03-01,-0.216216,yahoo
2025-04-01,-0.068966,yahoo
2025-05-01,22.672838,yahoo
2025-06-01,-0.870535,yahoo
2025-07-01,0.89426,yahoo
2025-08-01,-0.052632,yahoo
2025-09-01,-0.045455,yahoo
2025-10-01,-0.186361,yahoo
2025-11-01,-0.232659,yahoo
2025-12-01,-0.158192,yahoo
2026-01-01,-0.006711,yahoo
2026-02-01,-0.231982,yahoo
2026-03-01,-0.054252,yahoo
2026-04-01,0.116279,yahoo
2026-05-01,-0.151389,yahoo
2026-06-01,-0.214403,yahoo
2026-07-01,0.275,yahoo
2026-08-01,0.03268,yahoo
