date,monthly_return,source
2016-07-01,0.08159,yahoo
2016-08-01,-0.023598,yahoo
2016-09-01,0.025951,yahoo
2016-10-01,-0.215872,yahoo
2016-11-01,0.13248,yahoo
2016-12-01,-0.076321,yahoo
2017-01-01,-0.079567,yahoo
2017-02-01,0.038107,yahoo
2017-03-01,0.151762,yahoo
2017-04-01,0.038503,yahoo
2017-05-01,0.07621,yahoo
2017-06-01,-0.076938,yahoo
2017-07-01,-0.147626,yahoo
2017-08-01,0.109462,yahoo
2017-09-01,0.053058,yahoo
2017-10-01,0.00812,yahoo
2017-11-01,0.06898,yahoo
2017-12-01,0.023184,yahoo
2018-01-01,-0.061934,yahoo
2018-02-01,-0.056562,yahoo
2018-03-01,0.02667,yahoo
2018-04-01,-0.060474,yahoo
2018-05-01,0.075647,yahoo
2018-06-01,0.0876,yahoo
2018-07-01,0.009075,yahoo
2018-08-01,0.103616,yahoo
2018-09-01,-0.088285,yahoo
2018-10-01,-0.3,yahoo
2018-11-01,-0.045757,yahoo
2018-12-01,-0.038193,yahoo
2019-01-01,0.129565,yahoo
2019-02-01,0.054144,yahoo
2019-03-01,-0.035054,yahoo
2019-04-01,-0.035318,yahoo
2019-05-01,-0.0034,yahoo
2019-06-01,0.164524,yahoo
2019-07-01,-0.184317,yahoo
2019-08-01,-0.108564,yahoo
2019-09-01,0.095445,yahoo
2019-10-01,0.189533,yahoo
2019-11-01,0.053508,yahoo
2019-12-01,0.144695,yahoo
2020-01-01,-0.09505,yahoo
2020-02-01,-0.18893,yahoo
2020-03-01,-0.015046,yahoo
2020-04-01,0.198582,yahoo
2020-05-01,0.025717,yahoo
2020-06-01,0.082095,yahoo
2020-07-01,-0.151733,yahoo
2020-08-01,-0.083635,yahoo
2020-09-01,-0.003429,yahoo
2020-10-01,-0.001059,yahoo
2020-11-01,0.051404,yahoo
2020-12-01,0.213458,yahoo
2021-01-01,0.026168,yahoo
2021-02-01,0.202995,yahoo
2021-03-01,-0.000841,yahoo
2021-04-01,0.209295,yahoo
2021-05-01,-0.081454,yahoo
2021-06-01,-0.028346,yahoo
2021-07-01,0.169891,yahoo
2021-08-01,-0.004401,yahoo
2021-09-01,-0.076078,yahoo
2021-10-01,0.035228,yahoo
2021-11-01,-0.033329,yahoo
2021-12-01,0.376648,yahoo
2022-01-01,-0.168684,yahoo
2022-02-01,-0.081772,yahoo
2022-03-01,-0.078853,yahoo
2022-04-01,0.136336,yahoo
2022-05-01,0.189385,yahoo
2022-06-01,-0.073192,yahoo
2022-07-01,0.019235,yahoo
2022-08-01,-0.09612,yahoo
2022-09-01,-0.154584,yahoo
2022-10-01,-0.179475,yahoo
2022-11-01,0.17966,yahoo
2022-12-01,0.029952,yahoo
2023-01-01,-0.013694,yahoo
2023-02-01,0.048674,yahoo
2023-03-01,-0.02529,yahoo
2023-04-01,-0.028693,yahoo
2023-05-01,-0.037712,yahoo
2023-06-01,0.173416,yahoo
2023-07-01,-0.117729,yahoo
2023-08-01,-0.143375,yahoo
2023-09-01,-0.056343,yahoo
2023-10-01,0.045463,yahoo
2023-11-01,0.097424,yahoo
2023-12-01,0.042007,yahoo
2024-01-01,0.027909,yahoo
2024-02-01,0.124008,yahoo
2024-03-01,0.086877,yahoo
2024-04-01,-0.040681,yahoo
2024-05-01,0.057987,yahoo
2024-06-01,0.037137,yahoo
2024-07-01,-0.14261,yahoo
2024-08-01,-0.084533,yahoo
2024-09-01,-0.044518,yahoo
2024-10-01,-0.114093,yahoo
2024-11-01,-0.013752,yahoo
2024-12-01,0.018466,yahoo
2025-01-01,0.010361,yahoo
2025-02-01,0.027284,yahoo
2025-03-01,-0.098752,yahoo
2025-04-01,-0.020965,yahoo
2025-05-01,0.236364,yahoo
2025-06-01,0.228268,yahoo
2025-07-01,0.018225,yahoo
2025-08-01,0.041024,yahoo
2025-09-01,0.189885,yahoo
2025-10-01,0.034806,yahoo
2025-11-01,-0.093263,yahoo
2025-12-01,0.042041,yahoo
2026-01-01,0.282956,yahoo
2026-02-01,0.086606,yahoo
2026-03-01,-0.131084,yahoo
2026-04-01,0.948348,yahoo
2026-05-01,0.265518,yahoo
2026-06-01,0.203922,yahoo
2026-07-01,-0.335733,yahoo
