date,monthly_return,source
2016-08-01,-0.084238,yahoo
2016-09-01,0.027088,yahoo
2016-10-01,-0.067582,yahoo
2016-11-01,-0.077195,yahoo
2016-12-01,-0.035121,yahoo
2017-01-01,0.100596,yahoo
2017-02-01,0.044498,yahoo
2017-03-01,-0.006909,yahoo
2017-04-01,-0.055073,yahoo
2017-05-01,0.005521,yahoo
2017-06-01,-0.041489,yahoo
2017-07-01,0.012094,yahoo
2017-08-01,0.04717,yahoo
2017-09-01,-0.054655,yahoo
2017-10-01,0.003177,yahoo
2017-11-01,-0.017733,yahoo
2017-12-01,0.030948,yahoo
2018-01-01,0.022514,yahoo
2018-02-01,-0.054434,yahoo
2018-03-01,-0.003234,yahoo
2018-04-01,-0.001947,yahoo
2018-05-01,0.005202,yahoo
2018-06-01,-0.020052,yahoo
2018-07-01,-0.035644,yahoo
2018-08-01,-0.065708,yahoo
2018-09-01,0.005861,yahoo
2018-10-01,-0.023307,yahoo
2018-11-01,-0.006711,yahoo
2018-12-01,0.09009,yahoo
2019-01-01,0.036501,yahoo
2019-02-01,-0.027907,yahoo
2019-03-01,-0.030759,yahoo
2019-04-01,-0.011283,yahoo
2019-05-01,-0.026391,yahoo
2019-06-01,0.049817,yahoo
2019-07-01,0.06141,yahoo
2019-08-01,0.127548,yahoo
2019-09-01,-0.07172,yahoo
2019-10-01,0.062814,yahoo
2019-11-01,-0.059102,yahoo
2019-12-01,0.047739,yahoo
2020-01-01,0.008393,yahoo
2020-02-01,-0.076694,yahoo
2020-03-01,-0.159691,yahoo
2020-04-01,0.071264,yahoo
2020-05-01,0.191702,yahoo
2020-06-01,0.021008,yahoo
2020-07-01,0.33157,yahoo
2020-08-01,0.158057,yahoo
2020-09-01,-0.17499,yahoo
2020-10-01,0.016174,yahoo
2020-11-01,-0.042747,yahoo
2020-12-01,0.167221,yahoo
2021-01-01,0.017094,yahoo
2021-02-01,-0.013205,yahoo
2021-03-01,-0.079481,yahoo
2021-04-01,0.057709,yahoo
2021-05-01,0.078717,yahoo
2021-06-01,-0.064865,yahoo
2021-07-01,-0.02436,yahoo
2021-08-01,-0.063055,yahoo
2021-09-01,-0.073171,yahoo
2021-10-01,0.076511,yahoo
2021-11-01,-0.046627,yahoo
2021-12-01,0.021368,yahoo
2022-01-01,-0.033008,yahoo
2022-02-01,0.0875,yahoo
2022-03-01,0.011494,yahoo
2022-04-01,-0.08042,yahoo
2022-05-01,-0.057034,yahoo
2022-06-01,-0.060484,yahoo
2022-07-01,0.003219,yahoo
2022-08-01,-0.113369,yahoo
2022-09-01,0.055489,yahoo
2022-10-01,0.006857,yahoo
2022-11-01,0.159478,yahoo
2022-12-01,0.077827,yahoo
2023-01-01,-0.008629,yahoo
2023-02-01,-0.11956,yahoo
2023-03-01,0.150885,yahoo
2023-04-01,0.039783,yahoo
2023-05-01,-0.060435,yahoo
2023-06-01,-0.033318,yahoo
2023-07-01,0.086166,yahoo
2023-08-01,-0.013222,yahoo
2023-09-01,-0.091559,yahoo
2023-10-01,0.031465,yahoo
2023-11-01,0.102479,yahoo
2023-12-01,-0.058366,yahoo
2024-01-01,-0.039945,yahoo
2024-02-01,-0.008608,yahoo
2024-03-01,0.097443,yahoo
2024-04-01,0.057143,yahoo
2024-05-01,0.154262,yahoo
2024-06-01,-0.042867,yahoo
2024-07-01,-0.006775,yahoo
2024-08-01,-0.001516,yahoo
2024-09-01,0.078178,yahoo
2024-10-01,0.049278,yahoo
2024-11-01,-0.063402,yahoo
2024-12-01,-0.056948,yahoo
2025-01-01,0.082795,yahoo
2025-02-01,-0.007015,yahoo
2025-03-01,0.094666,yahoo
2025-04-01,-0.044853,yahoo
2025-05-01,0.013514,yahoo
2025-06-01,0.093667,yahoo
2025-07-01,0.015544,yahoo
2025-08-01,0.086134,yahoo
2025-09-01,0.170765,yahoo
2025-10-01,0.038707,yahoo
2025-11-01,0.163599,yahoo
2025-12-01,0.257957,yahoo
2026-01-01,0.171065,yahoo
2026-02-01,0.126591,yahoo
2026-03-01,-0.198259,yahoo
2026-04-01,-0.02172,yahoo
2026-05-01,0.025052,yahoo
2026-06-01,-0.217474,yahoo
2026-07-01,-0.020759,yahoo
2026-08-01,0.134645,yahoo
