date,monthly_return,source
2016-07-01,0.06267,yahoo
2016-08-01,0.033974,yahoo
2016-09-01,0.018909,yahoo
2016-10-01,-0.017341,yahoo
2016-11-01,0.128793,yahoo
2016-12-01,0.003566,yahoo
2017-01-01,0.019678,yahoo
2017-02-01,0.012329,yahoo
2017-03-01,-0.004766,yahoo
2017-04-01,-0.013833,yahoo
2017-05-01,-0.015916,yahoo
2017-06-01,0.01864,yahoo
2017-07-01,0.026103,yahoo
2017-08-01,-0.028324,yahoo
2017-09-01,0.064238,yahoo
2017-10-01,0.017499,yahoo
2017-11-01,0.035643,yahoo
2017-12-01,0.022623,yahoo
2018-01-01,0.058837,yahoo
2018-02-01,-0.037786,yahoo
2018-03-01,-0.018249,yahoo
2018-04-01,-0.012941,yahoo
2018-05-01,0.047199,yahoo
2018-06-01,-0.021853,yahoo
2018-07-01,0.02909,yahoo
2018-08-01,0.023293,yahoo
2018-09-01,-0.00663,yahoo
2018-10-01,-0.12881,yahoo
2018-11-01,0.019663,yahoo
2018-12-01,-0.116203,yahoo
2019-01-01,0.129498,yahoo
2019-02-01,0.038635,yahoo
2019-03-01,0.004106,yahoo
2019-04-01,0.062305,yahoo
2019-05-01,-0.116848,yahoo
2019-06-01,0.096923,yahoo
2019-07-01,0.00374,yahoo
2019-08-01,-0.058919,yahoo
2019-09-01,0.023014,yahoo
2019-10-01,0.023948,yahoo
2019-11-01,0.047012,yahoo
2019-12-01,0.052347,yahoo
2020-01-01,-0.040738,yahoo
2020-02-01,-0.092088,yahoo
2020-03-01,-0.280896,yahoo
2020-04-01,0.193085,yahoo
2020-05-01,0.091535,yahoo
2020-06-01,0.051788,yahoo
2020-07-01,0.022245,yahoo
2020-08-01,0.069193,yahoo
2020-09-01,-0.05008,yahoo
2020-10-01,0.017573,yahoo
2020-11-01,0.259049,yahoo
2020-12-01,0.066704,yahoo
2021-01-01,-0.006341,yahoo
2021-02-01,0.184542,yahoo
2021-03-01,0.040557,yahoo
2021-04-01,0.049044,yahoo
2021-05-01,0.051823,yahoo
2021-06-01,-0.01499,yahoo
2021-07-01,-0.036919,yahoo
2021-08-01,0.027205,yahoo
2021-09-01,-0.022204,yahoo
2021-10-01,0.075103,yahoo
2021-11-01,-0.026339,yahoo
2021-12-01,0.032671,yahoo
2022-01-01,-0.058593,yahoo
2022-02-01,0.015862,yahoo
2022-03-01,0.005161,yahoo
2022-04-01,-0.114797,yahoo
2022-05-01,0.013682,yahoo
2022-06-01,-0.140112,yahoo
2022-07-01,0.15714,yahoo
2022-08-01,-0.049248,yahoo
2022-09-01,-0.109957,yahoo
2022-10-01,0.086949,yahoo
2022-11-01,0.094582,yahoo
2022-12-01,-0.087141,yahoo
2023-01-01,0.161559,yahoo
2023-02-01,-0.023204,yahoo
2023-03-01,-0.010747,yahoo
2023-04-01,-0.039022,yahoo
2023-05-01,0.024245,yahoo
2023-06-01,0.109352,yahoo
2023-07-01,0.055243,yahoo
2023-08-01,-0.056817,yahoo
2023-09-01,-0.077996,yahoo
2023-10-01,-0.083595,yahoo
2023-11-01,0.139477,yahoo
2023-12-01,0.125683,yahoo
2024-01-01,-0.024515,yahoo
2024-02-01,0.049142,yahoo
2024-03-01,0.040436,yahoo
2024-04-01,-0.065648,yahoo
2024-05-01,0.014638,yahoo
2024-06-01,0.015268,yahoo
2024-07-01,0.029485,yahoo
2024-08-01,-0.013573,yahoo
2024-09-01,0.040345,yahoo
2024-10-01,-0.029366,yahoo
2024-11-01,0.074942,yahoo
2024-12-01,-0.047696,yahoo
2025-01-01,0.030006,yahoo
2025-02-01,-0.048626,yahoo
2025-03-01,-0.099114,yahoo
2025-04-01,0.011628,yahoo
2025-05-01,0.110269,yahoo
2025-06-01,0.109556,yahoo
2025-07-01,0.054035,yahoo
2025-08-01,0.020136,yahoo
2025-09-01,0.047011,yahoo
2025-10-01,0.04827,yahoo
2025-11-01,-0.016594,yahoo
2025-12-01,0.033395,yahoo
2026-01-01,0.035736,yahoo
2026-02-01,0.016096,yahoo
2026-03-01,-0.058083,yahoo
2026-04-01,0.1605,yahoo
2026-05-01,0.115042,yahoo
2026-06-01,0.03699,yahoo
2026-07-01,-0.134649,yahoo
