date,monthly_return,source
2016-07-01,0.01915,yahoo
2016-08-01,-0.011938,yahoo
2016-09-01,-0.016873,yahoo
2016-10-01,-0.045524,yahoo
2016-11-01,-0.083886,yahoo
2016-12-01,-0.009232,yahoo
2017-01-01,0.008142,yahoo
2017-02-01,0.013655,yahoo
2017-03-01,-0.008461,yahoo
2017-04-01,0.013586,yahoo
2017-05-01,0.016755,yahoo
2017-06-01,0.005788,yahoo
2017-07-01,-0.008632,yahoo
2017-08-01,0.031845,yahoo
2017-09-01,-0.025236,yahoo
2017-10-01,-0.002405,yahoo
2017-11-01,0.005303,yahoo
2017-12-01,0.013907,yahoo
2018-01-01,-0.032556,yahoo
2018-02-01,-0.032429,yahoo
2018-03-01,0.026526,yahoo
2018-04-01,-0.02297,yahoo
2018-05-01,0.0178,yahoo
2018-06-01,0.004125,yahoo
2018-07-01,-0.016595,yahoo
2018-08-01,0.010861,yahoo
2018-09-01,-0.030826,yahoo
2018-10-01,-0.031466,yahoo
2018-11-01,0.015408,yahoo
2018-12-01,0.053585,yahoo
2019-01-01,0.003786,yahoo
2019-02-01,-0.015988,yahoo
2019-03-01,0.053491,yahoo
2019-04-01,-0.022066,yahoo
2019-05-01,0.066154,yahoo
2019-06-01,0.007434,yahoo
2019-07-01,0.000602,yahoo
2019-08-01,0.108285,yahoo
2019-09-01,-0.028517,yahoo
2019-10-01,-0.01286,yahoo
2019-11-01,-0.005806,yahoo
2019-12-01,-0.03518,yahoo
2020-01-01,0.076912,yahoo
2020-02-01,0.064496,yahoo
2020-03-01,0.062198,yahoo
2020-04-01,0.010729,yahoo
2020-05-01,-0.018892,yahoo
2020-06-01,0.002078,yahoo
2020-07-01,0.043128,yahoo
2020-08-01,-0.05152,yahoo
2020-09-01,0.006597,yahoo
2020-10-01,-0.034852,yahoo
2020-11-01,0.015549,yahoo
2020-12-01,-0.014311,yahoo
2021-01-01,-0.036328,yahoo
2021-02-01,-0.058421,yahoo
2021-03-01,-0.053591,yahoo
2021-04-01,0.023551,yahoo
2021-05-01,-0.001443,yahoo
2021-06-01,0.04269,yahoo
2021-07-01,0.035816,yahoo
2021-08-01,-0.004615,yahoo
2021-09-01,-0.030303,yahoo
2021-10-01,0.023351,yahoo
2021-11-01,0.026407,yahoo
2021-12-01,-0.022429,yahoo
2022-01-01,-0.039139,yahoo
2022-02-01,-0.017698,yahoo
2022-03-01,-0.055695,yahoo
2022-04-01,-0.095624,yahoo
2022-05-01,-0.024194,yahoo
2022-06-01,-0.014499,yahoo
2022-07-01,0.022286,yahoo
2022-08-01,-0.047262,yahoo
2022-09-01,-0.084287,yahoo
2022-10-01,-0.061884,yahoo
2022-11-01,0.068879,yahoo
2022-12-01,-0.030858,yahoo
2023-01-01,0.076436,yahoo
2023-02-01,-0.050947,yahoo
2023-03-01,0.045817,yahoo
2023-04-01,0.000846,yahoo
2023-05-01,-0.032594,yahoo
2023-06-01,-0.000485,yahoo
2023-07-01,-0.028075,yahoo
2023-08-01,-0.034083,yahoo
2023-09-01,-0.082264,yahoo
2023-10-01,-0.057616,yahoo
2023-11-01,0.095477,yahoo
2023-12-01,0.079948,yahoo
2024-01-01,-0.022451,yahoo
2024-02-01,-0.025657,yahoo
2024-03-01,0.004672,yahoo
2024-04-01,-0.067639,yahoo
2024-05-01,0.025278,yahoo
2024-06-01,0.014704,yahoo
2024-07-01,0.033014,yahoo
2024-08-01,0.01772,yahoo
2024-09-01,0.016686,yahoo
2024-10-01,-0.057594,yahoo
2024-11-01,0.016441,yahoo
2024-12-01,-0.070661,yahoo
2025-01-01,0.004924,yahoo
2025-02-01,0.053213,yahoo
2025-03-01,-0.015147,yahoo
2025-04-01,-0.017137,yahoo
2025-05-01,-0.035654,yahoo
2025-06-01,0.022833,yahoo
2025-07-01,-0.015071,yahoo
2025-08-01,-0.003682,yahoo
2025-09-01,0.031986,yahoo
2025-10-01,0.010294,yahoo
2025-11-01,-0.000886,yahoo
2025-12-01,-0.03381,yahoo
2026-01-01,-0.000344,yahoo
2026-02-01,0.042351,yahoo
2026-03-01,-0.045475,yahoo
2026-04-01,-0.012343,yahoo
2026-05-01,0.001635,yahoo
2026-06-01,0.007696,yahoo
2026-07-01,-0.048253,yahoo
2026-08-01,0.00693,yahoo
