date,monthly_return,source
2021-12-01,0.502311,yahoo
2022-01-01,-0.337436,yahoo
2022-02-01,-0.168731,yahoo
2022-03-01,0.327747,yahoo
2022-04-01,0.102384,yahoo
2022-05-01,0.14631,yahoo
2022-06-01,-0.438402,yahoo
2022-07-01,0.27668,yahoo
2022-08-01,-0.017028,yahoo
2022-09-01,-0.270866,yahoo
2022-10-01,-0.019438,yahoo
2022-11-01,-0.689427,yahoo
2022-12-01,0.170213,yahoo
2023-01-01,-0.10303,yahoo
2023-02-01,-0.047297,yahoo
2023-03-01,-0.51922,yahoo
2023-04-01,-0.247677,yahoo
2023-05-01,-0.161765,yahoo
2023-06-01,0.287017,yahoo
2023-07-01,0.776445,yahoo
2023-08-01,0.186822,yahoo
2023-09-01,0.206897,yahoo
2023-10-01,0.364286,yahoo
2023-11-01,-0.104712,yahoo
2023-12-01,0.192982,yahoo
2024-01-01,0.004902,yahoo
2024-02-01,-0.082927,yahoo
2024-03-01,-0.159574,yahoo
2024-04-01,-0.329114,yahoo
2024-05-01,-0.533774,yahoo
2024-06-01,-0.069203,yahoo
2024-07-01,0.147174,yahoo
2026-08-01,8.721433,yahoo
