date,monthly_return,source
2022-07-01,-0.595383,yahoo
2022-08-01,-0.023023,yahoo
2022-09-01,0.315574,yahoo
2022-10-01,-0.619938,yahoo
2022-11-01,-0.045082,yahoo
2022-12-01,0.04721,yahoo
2023-01-01,-0.032787,yahoo
2023-02-01,-0.080508,yahoo
2023-03-01,0.290323,yahoo
2023-04-01,18.323214,yahoo
2023-05-01,-0.914888,yahoo
2023-06-01,0.019544,yahoo
2023-07-01,-0.241747,yahoo
2023-08-01,-0.206461,yahoo
2023-09-01,-0.092035,yahoo
2023-10-01,-0.134503,yahoo
2023-11-01,-0.011261,yahoo
2023-12-01,-0.138952,yahoo
2024-01-01,-0.177249,yahoo
2024-02-01,-0.128617,yahoo
2024-03-01,-0.01476,yahoo
2024-04-01,-0.048689,yahoo
2024-05-01,-0.019685,yahoo
2024-06-01,0.044177,yahoo
2024-07-01,-0.076923,yahoo
2024-08-01,-0.125,yahoo
2024-09-01,-0.080952,yahoo
2024-10-01,-0.119171,yahoo
2024-11-01,-0.017647,yahoo
2024-12-01,-0.083832,yahoo
2025-01-01,-0.078431,yahoo
2025-02-01,-0.085106,yahoo
2025-03-01,-0.03876,yahoo
2025-04-01,-0.068548,yahoo
2025-05-01,0.082251,yahoo
2025-06-01,-0.02,yahoo
2025-07-01,-0.061224,yahoo
2025-08-01,0.008696,yahoo
2025-09-01,0.112069,yahoo
2025-10-01,-0.069767,yahoo
2025-11-01,-0.075,yahoo
2025-12-01,-0.094595,yahoo
2026-01-01,0.034826,yahoo
2026-02-01,-0.028846,yahoo
2026-03-01,-0.180198,yahoo
2026-04-01,-0.033816,yahoo
2026-05-01,0.18875,yahoo
2026-06-01,0.92429,yahoo
2026-07-01,0.125683,yahoo
2026-08-01,0.035437,yahoo
