date,monthly_return,source
2016-07-01,0.090909,yahoo
2016-08-01,0.052083,yahoo
2016-09-01,-0.019802,yahoo
2016-10-01,-0.090909,yahoo
2016-11-01,-0.022222,yahoo
2016-12-01,0.272727,yahoo
2017-01-01,0.4375,yahoo
2017-02-01,-0.074534,yahoo
2017-03-01,-0.04698,yahoo
2017-04-01,-0.126761,yahoo
2017-05-01,0.120968,yahoo
2017-06-01,0.143885,yahoo
2017-07-01,0.006289,yahoo
2017-08-01,-0.175,yahoo
2017-09-01,0.045455,yahoo
2017-10-01,-0.231884,yahoo
2017-11-01,0.254717,yahoo
2017-12-01,0.330827,yahoo
2018-01-01,-0.112994,yahoo
2018-02-01,-0.171975,yahoo
2018-03-01,0.007692,yahoo
2018-04-01,0.152672,yahoo
2018-05-01,-0.006623,yahoo
2018-06-01,0.073333,yahoo
2018-07-01,0.024845,yahoo
2018-08-01,0.036364,yahoo
2018-09-01,0.005848,yahoo
2018-10-01,-0.226744,yahoo
2018-11-01,-0.007519,yahoo
2018-12-01,-0.05303,yahoo
2019-01-01,0.04,yahoo
2019-02-01,-0.030769,yahoo
2019-03-01,0.111111,yahoo
2019-04-01,0.007143,yahoo
2019-05-01,-0.042553,yahoo
2019-06-01,0.014815,yahoo
2019-07-01,-0.277372,yahoo
2019-08-01,-0.050505,yahoo
2019-09-01,0.031915,yahoo
2019-10-01,-0.020619,yahoo
2019-11-01,-0.073684,yahoo
2019-12-01,0.045455,yahoo
2020-01-01,-0.097826,yahoo
2020-02-01,-0.277108,yahoo
2020-03-01,-0.066667,yahoo
2020-04-01,0.964286,yahoo
2020-05-01,-0.045455,yahoo
2020-06-01,-0.161905,yahoo
2020-07-01,0.102273,yahoo
2020-08-01,0.185567,yahoo
2020-09-01,-0.130435,yahoo
2020-10-01,-0.14,yahoo
2020-11-01,0.232558,yahoo
2020-12-01,0.660377,yahoo
2021-01-01,-0.073864,yahoo
2021-02-01,0.300613,yahoo
2021-03-01,0.349057,yahoo
2021-04-01,0.013986,yahoo
2021-05-01,0.07931,yahoo
2021-06-01,-0.15016,yahoo
2021-07-01,-0.184211,yahoo
2021-08-01,0.156682,yahoo
2021-09-01,0.215139,yahoo
2021-10-01,0.219672,yahoo
2021-11-01,0.053763,yahoo
2021-12-01,-0.145408,yahoo
2022-01-01,-0.220896,yahoo
2022-02-01,0.528736,yahoo
2022-03-01,0.150376,yahoo
2022-04-01,-0.074074,yahoo
2022-05-01,-0.101176,yahoo
2022-06-01,-0.193717,yahoo
2022-07-01,0.363636,yahoo
2022-08-01,0.076191,yahoo
2022-09-01,-0.225664,yahoo
2022-10-01,0.202857,yahoo
2022-11-01,-0.078385,yahoo
2022-12-01,0.0,yahoo
2023-01-01,0.03866,yahoo
2023-02-01,-0.081886,yahoo
2023-03-01,-0.221622,yahoo
2023-04-01,-0.09375,yahoo
2023-05-01,-0.007663,yahoo
2023-06-01,0.312741,yahoo
2023-07-01,0.058823,yahoo
2023-08-01,0.2,yahoo
2023-09-01,0.19213,yahoo
2023-10-01,0.15534,yahoo
2023-11-01,0.095798,yahoo
2023-12-01,-0.018405,yahoo
2024-01-01,0.19375,yahoo
2024-02-01,-0.151832,yahoo
2024-03-01,0.041667,yahoo
2024-04-01,0.0,yahoo
2024-05-01,0.057778,yahoo
2024-06-01,-0.158263,yahoo
2024-07-01,-0.013311,yahoo
2024-08-01,-0.118044,yahoo
2024-09-01,0.187381,yahoo
2024-10-01,0.194847,yahoo
2024-11-01,0.119946,yahoo
2024-12-01,-0.194946,yahoo
2025-01-01,0.055306,yahoo
2025-02-01,-0.206799,yahoo
2025-03-01,-0.146429,yahoo
2025-04-01,0.098326,yahoo
2025-05-01,0.129524,yahoo
2025-06-01,0.146712,yahoo
2025-07-01,0.275,yahoo
2025-08-01,0.232987,yahoo
2025-09-01,0.247895,yahoo
2025-10-01,0.134183,yahoo
2025-11-01,-0.189028,yahoo
2025-12-01,-0.048085,yahoo
2026-01-01,0.476027,yahoo
2026-02-01,-0.110789,yahoo
2026-03-01,-0.119374,yahoo
2026-04-01,0.102963,yahoo
2026-05-01,-0.075218,yahoo
2026-06-01,-0.225853,yahoo
2026-07-01,-0.099437,yahoo
2026-08-01,0.09375,yahoo
