date,monthly_return,source
2016-07-01,-0.025316,yahoo
2016-08-01,-0.00938,yahoo
2016-09-01,-0.050255,yahoo
2016-10-01,-0.070552,yahoo
2016-11-01,0.027228,yahoo
2016-12-01,0.033735,yahoo
2017-01-01,0.351204,yahoo
2017-02-01,-0.039678,yahoo
2017-03-01,-0.080838,yahoo
2017-04-01,-0.142671,yahoo
2017-05-01,-0.021277,yahoo
2017-06-01,0.023292,yahoo
2017-07-01,0.097876,yahoo
2017-08-01,-0.041465,yahoo
2017-09-01,-0.041096,yahoo
2017-10-01,-0.102256,yahoo
2017-11-01,0.19598,yahoo
2017-12-01,0.053922,yahoo
2018-01-01,-0.063123,yahoo
2018-02-01,-0.097163,yahoo
2018-03-01,-0.051846,yahoo
2018-04-01,0.10522,yahoo
2018-05-01,-0.011994,yahoo
2018-06-01,-0.023521,yahoo
2018-07-01,0.02331,yahoo
2018-08-01,-0.034169,yahoo
2018-09-01,0.046384,yahoo
2018-10-01,-0.097671,yahoo
2018-11-01,0.04413,yahoo
2018-12-01,-0.069378,yahoo
2019-01-01,0.08826,yahoo
2019-02-01,-0.025984,yahoo
2019-03-01,0.009701,yahoo
2019-04-01,-0.029624,yahoo
2019-05-01,-0.046205,yahoo
2019-06-01,0.051038,yahoo
2019-07-01,-0.092181,yahoo
2019-08-01,-0.038985,yahoo
2019-09-01,0.037736,yahoo
2019-10-01,-0.011818,yahoo
2019-11-01,-0.0046,yahoo
2019-12-01,0.02403,yahoo
2020-01-01,-0.087545,yahoo
2020-02-01,-0.040554,yahoo
2020-03-01,-0.102062,yahoo
2020-04-01,0.243398,yahoo
2020-05-01,0.034164,yahoo
2020-06-01,-0.03125,yahoo
2020-07-01,0.060829,yahoo
2020-08-01,0.086012,yahoo
2020-09-01,-0.1096,yahoo
2020-10-01,-0.028751,yahoo
2020-11-01,0.094357,yahoo
2020-12-01,0.295858,yahoo
2021-01-01,-0.052838,yahoo
2021-02-01,0.205234,yahoo
2021-03-01,0.076,yahoo
2021-04-01,0.041423,yahoo
2021-05-01,0.115757,yahoo
2021-06-01,-0.031079,yahoo
2021-07-01,-0.056132,yahoo
2021-08-01,0.046977,yahoo
2021-09-01,0.135561,yahoo
2021-10-01,0.129046,yahoo
2021-11-01,-0.067759,yahoo
2021-12-01,-0.088658,yahoo
2022-01-01,-0.094654,yahoo
2022-02-01,0.166989,yahoo
2022-03-01,0.085027,yahoo
2022-04-01,-0.113532,yahoo
2022-05-01,-0.053903,yahoo
2022-06-01,-0.154057,yahoo
2022-07-01,0.162716,yahoo
2022-08-01,0.081557,yahoo
2022-09-01,-0.150814,yahoo
2022-10-01,0.019173,yahoo
2022-11-01,0.063861,yahoo
2022-12-01,-0.065612,yahoo
2023-01-01,0.146912,yahoo
2023-02-01,-0.091185,yahoo
2023-03-01,-0.047778,yahoo
2023-04-01,0.003512,yahoo
2023-05-01,-0.0055,yahoo
2023-06-01,0.091001,yahoo
2023-07-01,0.046083,yahoo
2023-08-01,0.057709,yahoo
2023-09-01,0.126197,yahoo
2023-10-01,-0.007396,yahoo
2023-11-01,0.078987,yahoo
2023-12-01,-0.043854,yahoo
2024-01-01,0.09498,yahoo
2024-02-01,-0.094327,yahoo
2024-03-01,0.049891,yahoo
2024-04-01,-0.002081,yahoo
2024-05-01,0.120612,yahoo
2024-06-01,-0.102047,yahoo
2024-07-01,-0.021071,yahoo
2024-08-01,-0.086097,yahoo
2024-09-01,0.104633,yahoo
2024-10-01,0.0741,yahoo
2024-11-01,0.052717,yahoo
2024-12-01,-0.172179,yahoo
2025-01-01,0.057132,yahoo
2025-02-01,-0.123984,yahoo
2025-03-01,-0.075806,yahoo
2025-04-01,0.09075,yahoo
2025-05-01,0.2804,yahoo
2025-06-01,0.212434,yahoo
2025-07-01,0.014172,yahoo
2025-08-01,0.033282,yahoo
2025-09-01,0.172117,yahoo
2025-10-01,0.156283,yahoo
2025-11-01,-0.17852,yahoo
2025-12-01,-0.056316,yahoo
2026-01-01,0.286918,yahoo
2026-02-01,-0.01182,yahoo
2026-03-01,-0.10876,yahoo
2026-04-01,0.16498,yahoo
2026-05-01,-0.100319,yahoo
2026-06-01,-0.139086,yahoo
2026-07-01,-0.10595,yahoo
2026-08-01,0.097773,yahoo
