date,monthly_return,source
2023-08-01,0.00544,yahoo
2023-09-01,0.005214,yahoo
2023-10-01,0.001174,yahoo
2023-11-01,0.005865,yahoo
2023-12-01,0.003887,yahoo
2024-01-01,0.006776,yahoo
2024-02-01,0.003846,yahoo
2024-03-01,0.002395,yahoo
2024-04-01,0.005256,yahoo
2024-05-01,0.002852,yahoo
2024-06-01,0.004739,yahoo
2024-07-01,0.004717,yahoo
2024-08-01,0.001878,yahoo
2024-09-01,0.007498,yahoo
2024-10-01,0.00093,yahoo
2024-11-01,0.005576,yahoo
2024-12-01,0.060998,yahoo
2025-01-01,0.149826,yahoo
2025-02-01,-0.156818,yahoo
2025-03-01,-0.466307,yahoo
2025-04-01,0.76936,yahoo
2025-05-01,-0.14843,yahoo
2025-06-01,0.224022,yahoo
2025-07-01,0.160201,yahoo
2025-08-01,0.173879,yahoo
2025-09-01,0.152145,yahoo
2025-10-01,0.131472,yahoo
2025-11-01,-0.308483,yahoo
2025-12-01,-0.115242,yahoo
2026-01-01,0.884034,yahoo
2026-02-01,-0.157003,yahoo
2026-03-01,-0.199206,yahoo
2026-04-01,0.71589,yahoo
2026-05-01,0.078552,yahoo
2026-06-01,-0.229561,yahoo
2026-07-01,-0.307229,yahoo
