date,monthly_return,source
2021-02-01,0.008443,yahoo
2021-03-01,-0.046512,yahoo
2021-04-01,0.000976,yahoo
2021-05-01,-0.025341,yahoo
2021-06-01,0.001,yahoo
2021-07-01,-0.005994,yahoo
2021-08-01,0.001005,yahoo
2021-09-01,-0.159639,yahoo
2021-10-01,0.229391,yahoo
2021-11-01,0.046647,yahoo
2021-12-01,-0.274838,yahoo
2022-01-01,-0.174136,yahoo
2022-02-01,0.260465,yahoo
2022-03-01,0.145141,yahoo
2022-04-01,-0.62406,yahoo
2022-05-01,-0.297143,yahoo
2022-06-01,-0.439024,yahoo
2022-07-01,1.326087,yahoo
2022-08-01,0.342679,yahoo
2022-09-01,-0.085847,yahoo
2022-10-01,0.0,yahoo
2022-11-01,-0.484772,yahoo
2022-12-01,-0.118227,yahoo
2023-01-01,0.340782,yahoo
2023-02-01,0.320833,yahoo
2023-03-01,-0.283912,yahoo
2023-04-01,0.030837,yahoo
2023-05-01,-0.175214,yahoo
2023-06-01,0.119171,yahoo
2023-07-01,0.060185,yahoo
2023-08-01,-0.310044,yahoo
2023-09-01,-0.012658,yahoo
2023-10-01,-0.153846,yahoo
2023-11-01,-0.265909,yahoo
2023-12-01,-0.589267,yahoo
2024-01-01,-0.211055,yahoo
2024-02-01,-0.130573,yahoo
2024-03-01,0.67033,yahoo
2024-04-01,-0.41886,yahoo
2024-05-01,-0.433962,yahoo
2024-06-01,-0.367619,yahoo
2024-07-01,-0.213855,yahoo
2024-08-01,-0.524904,yahoo
2024-09-01,-0.419355,yahoo
2024-10-01,0.402778,yahoo
2024-11-01,0.326733,yahoo
2024-12-01,-0.496269,yahoo
2025-01-01,0.946667,yahoo
2025-02-01,-0.833333,yahoo
2025-03-01,-0.242009,yahoo
2025-04-01,1.560241,yahoo
2025-05-01,0.164706,yahoo
2025-06-01,-0.030303,yahoo
2025-07-01,-0.082222,yahoo
2025-08-01,-0.34776,yahoo
2025-09-01,-0.287703,yahoo
2025-10-01,0.807818,yahoo
2025-11-01,-0.036036,yahoo
2025-12-01,1.568224,yahoo
2026-01-01,-0.041485,yahoo
2026-02-01,-0.227031,yahoo
2026-03-01,-0.077603,yahoo
2026-04-01,0.49148,yahoo
2026-05-01,0.714388,yahoo
2026-06-01,-0.269055,yahoo
2026-07-01,-0.447009,yahoo
