date,monthly_return,source
2016-07-01,0.075415,yahoo
2016-08-01,0.091164,yahoo
2016-09-01,-0.050129,yahoo
2016-10-01,-0.036536,yahoo
2016-11-01,0.102528,yahoo
2016-12-01,0.042038,yahoo
2017-01-01,0.094132,yahoo
2017-02-01,0.119553,yahoo
2017-03-01,0.06986,yahoo
2017-04-01,-0.067164,yahoo
2017-05-01,0.123,yahoo
2017-06-01,-0.062333,yahoo
2017-07-01,0.041785,yahoo
2017-08-01,-0.084777,yahoo
2017-09-01,-0.057769,yahoo
2017-10-01,-0.019028,yahoo
2017-11-01,0.009698,yahoo
2017-12-01,-0.067236,yahoo
2018-01-01,-0.018307,yahoo
2018-02-01,0.121212,yahoo
2018-03-01,0.010395,yahoo
2018-04-01,-0.027778,yahoo
2018-05-01,0.006349,yahoo
2018-06-01,0.076761,yahoo
2018-07-01,-0.011719,yahoo
2018-08-01,0.106719,yahoo
2018-09-01,0.0125,yahoo
2018-10-01,0.016755,yahoo
2018-11-01,-0.120555,yahoo
2018-12-01,-0.008876,yahoo
2019-01-01,0.106468,yahoo
2019-02-01,0.180755,yahoo
2019-03-01,-0.057121,yahoo
2019-04-01,0.074313,yahoo
2019-05-01,-0.093985,yahoo
2019-06-01,0.102905,yahoo
2019-07-01,0.103837,yahoo
2019-08-01,-0.05317,yahoo
2019-09-01,0.008639,yahoo
2019-10-01,0.139186,yahoo
2019-11-01,-0.058897,yahoo
2019-12-01,-0.001332,yahoo
2020-01-01,-0.06,yahoo
2020-02-01,-0.064539,yahoo
2020-03-01,-0.150114,yahoo
2020-04-01,0.077609,yahoo
2020-05-01,-0.040563,yahoo
2020-06-01,0.099223,yahoo
2020-07-01,0.085557,yahoo
2020-08-01,-0.03543,yahoo
2020-09-01,-0.12069,yahoo
2020-10-01,0.052856,yahoo
2020-11-01,0.097166,yahoo
2020-12-01,0.105535,yahoo
2021-01-01,0.031375,yahoo
2021-02-01,0.047249,yahoo
2021-03-01,-0.029666,yahoo
2021-04-01,0.042038,yahoo
2021-05-01,0.071516,yahoo
2021-06-01,0.007416,yahoo
2021-07-01,-0.054926,yahoo
2021-08-01,-0.023966,yahoo
2021-09-01,-0.033763,yahoo
2021-10-01,-0.021601,yahoo
2021-11-01,-0.038312,yahoo
2021-12-01,0.189737,yahoo
2022-01-01,-0.065834,yahoo
2022-02-01,-0.003645,yahoo
2022-03-01,-0.019512,yahoo
2022-04-01,-0.108209,yahoo
2022-05-01,0.009066,yahoo
2022-06-01,-0.085695,yahoo
2022-07-01,0.11867,yahoo
2022-08-01,-0.048649,yahoo
2022-09-01,-0.073153,yahoo
2022-10-01,0.157088,yahoo
2022-11-01,-0.249669,yahoo
2022-12-01,-0.072374,yahoo
2023-01-01,0.075167,yahoo
2023-02-01,-0.031858,yahoo
2023-03-01,-0.010055,yahoo
2023-04-01,-0.172669,yahoo
2023-05-01,0.098214,yahoo
2023-06-01,0.151423,yahoo
2023-07-01,-0.0406,yahoo
2023-08-01,-0.038638,yahoo
2023-09-01,-0.125359,yahoo
2023-10-01,-0.148797,yahoo
2023-11-01,0.03856,yahoo
2023-12-01,0.246287,yahoo
2024-01-01,-0.023833,yahoo
2024-02-01,-0.028484,yahoo
2024-03-01,-0.048168,yahoo
2024-04-01,-0.130913,yahoo
2024-05-01,-0.048101,yahoo
2024-06-01,-0.086436,yahoo
2024-07-01,0.170306,yahoo
2024-08-01,0.070895,yahoo
2024-09-01,0.047619,yahoo
2024-10-01,0.022173,yahoo
2024-11-01,0.078091,yahoo
2024-12-01,0.016097,yahoo
2025-01-01,0.192079,yahoo
2025-02-01,-0.071429,yahoo
2025-03-01,0.000894,yahoo
2025-04-01,-0.054513,yahoo
2025-05-01,-0.138941,yahoo
2025-06-01,0.105379,yahoo
2025-07-01,-0.001986,yahoo
2025-08-01,0.122388,yahoo
2025-09-01,0.125,yahoo
2025-10-01,0.394799,yahoo
2025-11-01,0.013559,yahoo
2025-12-01,-0.006689,yahoo
2026-01-01,0.372615,yahoo
2026-02-01,0.214636,yahoo
2026-03-01,0.120162,yahoo
2026-04-01,0.574519,yahoo
2026-05-01,-0.073282,yahoo
2026-06-01,-0.01668,yahoo
2026-07-01,-0.226178,yahoo
2026-08-01,0.098511,yahoo
